year	month	L	M	S
0,0000	0	1,1898	16,4296	0,0819
0,2500	3	1,0605	19,3755	0,0801
0,5000	6	0,9356	22,1365	0,0784
0,7500	9	0,8236	24,6052	0,0767
1,0000	12	0,7294	26,9223	0,0753
1,2500	15	0,6555	29,1114	0,0739
1,5000	18	0,6004	31,2722	0,0727
1,7500	21	0,5614	33,5104	0,0716
2,0000	24	0,5364	35,7106	0,0705
2,2500	27	0,5219	37,6791	0,0695
2,5000	30	0,5146	39,3952	0,0685
2,7500	33	0,5123	40,9089	0,0676
3,0000	36	0,5132	42,2890	0,0668
3,2500	39	0,5159	43,5820	0,0661
3,5000	42	0,5198	44,8074	0,0654
3,7500	45	0,5248	45,9793	0,0648
4,0000	48	0,5305	47,1100	0,0642
4,2500	51	0,5368	48,2009	0,0637
4,5000	54	0,5436	49,2570	0,0633
4,7500	57	0,5508	50,2856	0,0628
5,0000	60	0,5581	51,2915	0,0625
5,2500	63	0,5656	52,2776	0,0621
5,5000	66	0,5731	53,2466	0,0618
5,7500	69	0,5808	54,2016	0,0615
6,0000	72	0,5883	55,1430	0,0613
6,2500	75	0,5958	56,0714	0,0610
6,5000	78	0,6030	56,9931	0,0608
6,7500	81	0,6100	57,9117	0,0606
7,0000	84	0,6169	58,8262	0,0604
7,2500	87	0,6237	59,7350	0,0602
7,5000	90	0,6304	60,6370	0,0601
7,7500	93	0,6371	61,5288	0,0599
8,0000	96	0,6439	62,4048	0,0598
8,2500	99	0,6508	63,2620	0,0597
8,5000	102	0,6577	64,0987	0,0596
8,7500	105	0,6648	64,9172	0,0595
9,0000	108	0,6720	65,7203	0,0594
9,2500	111	0,6794	66,5103	0,0594
9,5000	114	0,6871	67,2886	0,0593
9,7500	117	0,6951	68,0583	0,0593
10,0000	120	0,7034	68,8250	0,0593
10,2500	123	0,7122	69,5927	0,0593
10,5000	126	0,7215	70,3666	0,0593
10,7500	129	0,7312	71,1505	0,0592
11,0000	132	0,7416	71,9472	0,0592
11,2500	135	0,7528	72,7583	0,0592
11,5000	138	0,7646	73,5867	0,0592
11,7500	141	0,7772	74,4411	0,0592
12,0000	144	0,7907	75,3316	0,0591
12,2500	147	0,8049	76,2617	0,0590
12,5000	150	0,8198	77,2233	0,0590
12,7500	153	0,8351	78,2010	0,0589
13,0000	156	0,8505	79,1797	0,0587
13,2500	159	0,8659	80,1456	0,0586
13,5000	162	0,8810	81,0854	0,0584
13,7500	165	0,8957	81,9852	0,0583
14,0000	168	0,9098	82,8318	0,0581
14,2500	171	0,9230	83,6178	0,0579
14,5000	174	0,9353	84,3438	0,0578
14,7500	177	0,9468	85,0103	0,0576
15,0000	180	0,9573	85,6181	0,0575
15,2500	183	0,9668	86,1682	0,0573
15,5000	186	0,9754	86,6605	0,0572
15,7500	189	0,9830	87,0964	0,0571
16,0000	192	0,9896	87,4762	0,0570
16,2500	195	0,9953	87,7989	0,0569
16,5000	198	1,0000	88,0666	0,0568
16,7500	201	1,0038	88,2836	0,0568
17,0000	204	1,0069	88,4558	0,0567
17,2500	207	1,0092	88,5907	0,0567
17,5000	210	1,0110	88,6936	0,0567
17,7500	213	1,0124	88,7688	0,0567
18,0000	216	1,0133	88,8210	0,0566
18,2500	219	1,0139	88,8551	0,0566
18,5000	222	1,0142	88,8742	0,0566
18,7500	225	1,0144	88,8822	0,0566
19,0000	228	1,0144	88,8848	0,0566
19,2500	231	1,0145	88,8893	0,0566
19,5000	234	1,0147	88,9009	0,0566
19,7500	237	1,0151	88,9224	0,0566
20,0000	240	1,0156	88,9543	0,0566
20,2500	243	1,0164	88,9949	0,0566
20,5000	246	1,0172	89,0418	0,0566
20,7500	249	1,0181	89,0925	0,0566
21,0000	252	1,0190	89,1440	0,0566
21,2500	255	1,0199	89,1951	0,0565
