year	month	L	M	S
0,0000	0	0,7174	16,3139	0,0813
0,2500	3	0,7075	18,8952	0,0793
0,5000	6	0,6734	21,5185	0,0773
0,7500	9	0,6496	23,9995	0,0755
1,0000	12	0,6407	26,3644	0,0738
1,2500	15	0,6464	28,5986	0,0724
1,5000	18	0,6640	30,7718	0,0711
1,7500	21	0,6901	32,9919	0,0700
2,0000	24	0,7188	35,2611	0,0690
2,2500	27	0,7455	37,3280	0,0681
2,5000	30	0,7663	39,1334	0,0673
2,7500	33	0,7796	40,7194	0,0665
3,0000	36	0,7854	42,1448	0,0658
3,2500	39	0,7854	43,4501	0,0651
3,5000	42	0,7809	44,6509	0,0645
3,7500	45	0,7733	45,7620	0,0639
4,0000	48	0,7637	46,8009	0,0634
4,2500	51	0,7523	47,7945	0,0629
4,5000	54	0,7397	48,7593	0,0624
4,7500	57	0,7264	49,7082	0,0619
5,0000	60	0,7128	50,6499	0,0615
5,2500	63	0,6991	51,5929	0,0611
5,5000	66	0,6856	52,5413	0,0607
5,7500	69	0,6726	53,4943	0,0603
6,0000	72	0,6604	54,4516	0,0600
6,2500	75	0,6493	55,4140	0,0597
6,5000	78	0,6395	56,3799	0,0594
6,7500	81	0,6313	57,3459	0,0591
7,0000	84	0,6251	58,3090	0,0589
7,2500	87	0,6210	59,2628	0,0587
7,5000	90	0,6193	60,2014	0,0585
7,7500	93	0,6202	61,1183	0,0583
8,0000	96	0,6237	62,0111	0,0582
8,2500	99	0,6297	62,8818	0,0580
8,5000	102	0,6381	63,7359	0,0579
8,7500	105	0,6490	64,5772	0,0578
9,0000	108	0,6622	65,4091	0,0577
9,2500	111	0,6778	66,2337	0,0576
9,5000	114	0,6957	67,0501	0,0575
9,7500	117	0,7158	67,8575	0,0574
10,0000	120	0,7382	68,6585	0,0573
10,2500	123	0,7627	69,4627	0,0572
10,5000	126	0,7895	70,2808	0,0571
10,7500	129	0,8185	71,1191	0,0570
11,0000	132	0,8495	71,9690	0,0569
11,2500	135	0,8820	72,8176	0,0568
11,5000	138	0,9152	73,6531	0,0567
11,7500	141	0,9488	74,4650	0,0565
12,0000	144	0,9820	75,2470	0,0564
12,2500	147	1,0144	75,9924	0,0563
12,5000	150	1,0453	76,6903	0,0561
12,7500	153	1,0742	77,3278	0,0560
13,0000	156	1,1005	77,8964	0,0559
13,2500	159	1,1238	78,3916	0,0558
13,5000	162	1,1440	78,8154	0,0557
13,7500	165	1,1612	79,1718	0,0556
14,0000	168	1,1753	79,4636	0,0555
14,2500	171	1,1866	79,6969	0,0555
14,5000	174	1,1957	79,8823	0,0554
14,7500	177	1,2030	80,0313	0,0554
15,0000	180	1,2089	80,1525	0,0553
15,2500	183	1,2139	80,2536	0,0553
15,5000	186	1,2182	80,3425	0,0553
15,7500	189	1,2221	80,4222	0,0553
16,0000	192	1,2255	80,4912	0,0553
16,2500	195	1,2283	80,5486	0,0553
16,5000	198	1,2305	80,5940	0,0552
16,7500	201	1,2322	80,6287	0,0552
17,0000	204	1,2336	80,6568	0,0552
17,2500	207	1,2348	80,6822	0,0552
17,5000	210	1,2360	80,7066	0,0552
17,7500	213	1,2371	80,7291	0,0552
18,0000	216	1,2381	80,7489	0,0552
18,2500	219	1,2389	80,7658	0,0552
18,5000	222	1,2397	80,7816	0,0552
18,7500	225	1,2406	80,8009	0,0552
19,0000	228	1,2419	80,8266	0,0552
19,2500	231	1,2434	80,8576	0,0552
19,5000	234	1,2451	80,8911	0,0552
19,7500	237	1,2467	80,9247	0,0552
20,0000	240	1,2483	80,9562	0,0552
20,2500	243	1,2496	80,9844	0,0551
20,5000	246	1,2509	81,0095	0,0551
20,7500	249	1,2520	81,0334	0,0551
21,0000	252	1,2532	81,0573	0,0551
