jaar	M	S	L
0.0000	13.85	0.0790	2.600
0.0192	14.25	0.0798	2.480
0.0383	14.58	0.0805	2.379
0.0575	14.98	0.0811	2.255
0.0767	15.29	0.0815	2.154
0.0958	15.56	0.0819	2.070
0.1150	15.79	0.0823	1.997
0.1342	15.99	0.0826	1.932
0.1533	16.18	0.0829	1.873
0.1725	16.35	0.0831	1.818
0.1916	16.51	0.0834	1.767
0.2300	16.78	0.0839	1.675
0.2683	17.01	0.0843	1.593
0.3066	17.19	0.0847	1.519
0.3450	17.34	0.0851	1.450
0.3833	17.45	0.0855	1.386
0.4216	17.55	0.0858	1.326
0.4600	17.63	0.0861	1.270
0.4983	17.69	0.0864	1.216
0.5366	17.74	0.0867	1.165
0.6133	17.80	0.0872	1.070
0.6899	17.84	0.0877	0.982
0.7666	17.85	0.0882	0.900
0.8433	17.85	0.0886	0.823
0.9199	17.83	0.0891	0.751
0.9966	17.79	0.0895	0.682
1.0732	17.75	0.0899	0.617
1.1499	17.69	0.0903	0.555
1.2266	17.63	0.0908	0.496
1.5000	17.39	0.0923	0.303
2.0000	17.01	0.0948	0.003
2.5000	16.71	0.0971	-0.249
3.0000	16.44	0.0993	-0.467
3.5000	16.22	0.1012	-0.657
4.0000	16.05	0.1032	-0.825
4.5000	15.96	0.1050	-0.974
5.0000	15.92	0.1069	-1.108
5.5000	15.91	0.1087	-1.228
6.0000	15.93	0.1106	-1.336
6.5000	15.96	0.1126	-1.432
7.0000	16.02	0.1144	-1.519
7.5000	16.10	0.1163	-1.595
8.0000	16.20	0.1180	-1.664
8.5000	16.32	0.1197	-1.724
9.0000	16.46	0.1212	-1.778
9.5000	16.62	0.1226	-1.825
10.0000	16.81	0.1239	-1.867
10.5000	17.01	0.1250	-1.903
11.0000	17.24	0.1260	-1.935
11.5000	17.48	0.1269	-1.963
12.0000	17.74	0.1277	-1.987
12.5000	18.01	0.1284	-2.007
13.0000	18.29	0.1290	-2.024
13.5000	18.58	0.1296	-2.038
14.0000	18.87	0.1301	-2.050
14.5000	19.16	0.1305	-2.059
15.0000	19.46	0.1309	-2.066
15.5000	19.75	0.1313	-2.072
16.0000	20.03	0.1316	-2.077
16.5000	20.31	0.1319	-2.080
17.0000	20.59	0.1322	-2.084
17.5000	20.86	0.1324	-2.087
18.0000	21.12	0.1327	-2.089
18.5000	21.38	0.1329	-2.092
19.0000	21.64	0.1332	-2.094
19.5000	21.89	0.1334	-2.097
20.0000	22.13	0.1336	-2.099
