jaar	M	S	L
0.0000	13.40	0.0965	0.750
0.0192	13.70	0.0965	0.600
0.0383	14.00	0.0966	0.500
0.0575	14.27	0.0966	0.415
0.0767	14.55	0.0967	0.338
0.0958	14.79	0.0967	0.272
0.1150	14.99	0.0967	0.215
0.1342	15.16	0.0967	0.164
0.1533	15.32	0.0967	0.118
0.1725	15.47	0.0967	0.076
0.1916	15.60	0.0966	0.037
0.2300	15.84	0.0963	-0.034
0.2683	16.06	0.0961	-0.097
0.3066	16.25	0.0957	-0.155
0.3450	16.43	0.0954	-0.207
0.3833	16.59	0.0951	-0.256
0.4216	16.74	0.0948	-0.302
0.4600	16.87	0.0945	-0.344
0.4983	16.99	0.0943	-0.385
0.5366	17.09	0.0941	-0.423
0.6133	17.27	0.0937	-0.494
0.6899	17.42	0.0934	-0.558
0.7666	17.53	0.0932	-0.618
0.8433	17.60	0.0930	-0.673
0.9199	17.65	0.0929	-0.724
0.9966	17.68	0.0928	-0.772
1.0732	17.68	0.0928	-0.817
1.1499	17.66	0.0928	-0.860
1.2266	17.62	0.0928	-0.900
1.5000	17.43	0.0933	-1.027
2.0000	17.00	0.0956	-1.211
2.5000	16.63	0.0986	-1.351
3.0000	16.37	0.1016	-1.458
3.5000	16.20	0.1047	-1.539
4.0000	16.12	0.1078	-1.596
4.5000	16.08	0.1110	-1.635
5.0000	16.08	0.1143	-1.655
5.5000	16.09	0.1177	-1.666
6.0000	16.11	0.1211	-1.664
6.5000	16.15	0.1245	-1.653
7.0000	16.20	0.1278	-1.634
7.5000	16.28	0.1310	-1.608
8.0000	16.39	0.1340	-1.577
8.5000	16.54	0.1368	-1.540
9.0000	16.71	0.1394	-1.500
9.5000	16.93	0.1419	-1.457
10.0000	17.18	0.1442	-1.410
10.5000	17.48	0.1464	-1.362
11.0000	17.81	0.1484	-1.312
11.5000	18.18	0.1501	-1.262
12.0000	18.57	0.1517	-1.211
12.5000	18.97	0.1531	-1.160
13.0000	19.38	0.1543	-1.110
13.5000	19.79	0.1552	-1.060
14.0000	20.18	0.1561	-1.011
14.5000	20.56	0.1568	-0.963
15.0000	20.92	0.1575	-0.915
15.5000	21.26	0.1582	-0.868
16.0000	21.58	0.1589	-0.821
16.5000	21.88	0.1595	-0.775
17.0000	22.17	0.1602	-0.730
17.5000	22.45	0.1609	-0.685
18.0000	22.73	0.1617	-0.640
18.5000	22.99	0.1624	-0.596
19.0000	23.24	0.1632	-0.553
19.5000	23.49	0.1640	-0.511
20.0000	23.73	0.1647	-0.469
20.5000	23.97	0.1655	-0.428
