age	mu	sigma	nu
0.0000	12.60	0.0920	-0.900
0.0192	13.05	0.0905	-0.820
0.0383	13.43	0.0893	-0.746
0.0575	13.91	0.0879	-0.684
0.0767	14.30	0.0868	-0.634
0.0958	14.62	0.0859	-0.592
0.1150	14.89	0.0850	-0.556
0.1342	15.13	0.0843	-0.523
0.1533	15.34	0.0837	-0.494
0.1725	15.53	0.0831	-0.468
0.1916	15.70	0.0826	-0.444
0.2300	16.00	0.0816	-0.403
0.2683	16.24	0.0809	-0.366
0.3066	16.45	0.0802	-0.335
0.3450	16.63	0.0796	-0.308
0.3833	16.79	0.0792	-0.283
0.4216	16.93	0.0787	-0.261
0.4600	17.05	0.0784	-0.242
0.4983	17.15	0.0781	-0.225
0.5366	17.23	0.0778	-0.209
0.6133	17.35	0.0774	-0.183
0.6899	17.42	0.0771	-0.163
0.7666	17.44	0.0768	-0.148
0.8433	17.44	0.0767	-0.136
0.9199	17.41	0.0765	-0.126
0.9966	17.36	0.0765	-0.118
1.0732	17.29	0.0765	-0.110
1.1499	17.22	0.0765	-0.101
1.2266	17.15	0.0766	-0.093
1.5000	16.87	0.0772	-0.058
2.0000	16.42	0.0790	-0.007
2.5000	16.12	0.0813	-0.006
3.0000	15.89	0.0837	-0.069
3.5000	15.73	0.0859	-0.192
4.0000	15.61	0.0882	-0.375
4.5000	15.55	0.0904	-0.605
5.0000	15.52	0.0925	-0.852
5.5000	15.51	0.0946	-1.097
6.0000	15.52	0.0967	-1.324
6.5000	15.55	0.0987	-1.527
7.0000	15.61	0.1006	-1.699
7.5000	15.70	0.1024	-1.839
8.0000	15.82	0.1041	-1.948
8.5000	15.96	0.1057	-2.028
9.0000	16.10	0.1071	-2.083
9.5000	16.26	0.1085	-2.115
10.0000	16.43	0.1097	-2.126
10.5000	16.61	0.1108	-2.119
11.0000	16.83	0.1118	-2.097
11.5000	17.06	0.1126	-2.064
12.0000	17.32	0.1133	-2.022
12.5000	17.60	0.1139	-1.974
13.0000	17.90	0.1144	-1.925
13.5000	18.21	0.1147	-1.873
14.0000	18.54	0.1149	-1.821
14.5000	18.87	0.1150	-1.767
15.0000	19.21	0.1151	-1.711
15.5000	19.53	0.1151	-1.654
16.0000	19.85	0.1152	-1.594
16.5000	20.15	0.1151	-1.531
17.0000	20.43	0.1151	-1.466
17.5000	20.70	0.1151	-1.398
18.0000	20.94	0.1151	-1.327
18.5000	21.16	0.1151	-1.256
19.0000	21.37	0.1150	-1.183
19.5000	21.56	0.1150	-1.110
20.0000	21.75	0.1150	-1.038
20.5000	21.93	0.1149	-0.966
21.0000	22.11	0.1149	-0.896
