age	mu	sigma	nu
0.0000	12.50	0.0930	0.150
0.0192	12.90	0.0912	0.080
0.0383	13.22	0.0896	0.020
0.0575	13.62	0.0884	-0.031
0.0767	13.95	0.0874	-0.081
0.0958	14.24	0.0866	-0.122
0.1150	14.50	0.0860	-0.157
0.1342	14.75	0.0854	-0.186
0.1533	14.96	0.0850	-0.211
0.1725	15.16	0.0846	-0.232
0.1916	15.33	0.0842	-0.250
0.2300	15.63	0.0836	-0.278
0.2683	15.88	0.0831	-0.299
0.3066	16.09	0.0827	-0.314
0.3450	16.27	0.0824	-0.326
0.3833	16.41	0.0822	-0.335
0.4216	16.53	0.0819	-0.343
0.4600	16.63	0.0818	-0.349
0.4983	16.70	0.0816	-0.354
0.5366	16.76	0.0815	-0.359
0.6133	16.85	0.0813	-0.368
0.6899	16.90	0.0812	-0.376
0.7666	16.92	0.0810	-0.386
0.8433	16.91	0.0808	-0.398
0.9199	16.87	0.0805	-0.413
0.9966	16.82	0.0803	-0.430
1.0732	16.75	0.0801	-0.449
1.1499	16.68	0.0798	-0.471
1.2266	16.61	0.0796	-0.496
1.5000	16.37	0.0790	-0.597
2.0000	16.07	0.0785	-0.815
2.5000	15.88	0.0791	-1.019
3.0000	15.74	0.0807	-1.184
3.5000	15.62	0.0833	-1.313
4.0000	15.51	0.0865	-1.416
4.5000	15.41	0.0903	-1.500
5.0000	15.37	0.0943	-1.568
5.5000	15.39	0.0984	-1.623
6.0000	15.47	0.1024	-1.663
6.5000	15.58	0.1063	-1.692
7.0000	15.71	0.1101	-1.712
7.5000	15.85	0.1136	-1.722
8.0000	16.00	0.1168	-1.726
8.5000	16.15	0.1197	-1.723
9.0000	16.32	0.1222	-1.715
9.5000	16.51	0.1243	-1.704
10.0000	16.72	0.1259	-1.690
10.5000	16.95	0.1271	-1.674
11.0000	17.21	0.1279	-1.658
11.5000	17.50	0.1283	-1.644
12.0000	17.82	0.1283	-1.633
12.5000	18.16	0.1279	-1.627
13.0000	18.51	0.1273	-1.627
13.5000	18.85	0.1265	-1.632
14.0000	19.19	0.1255	-1.643
14.5000	19.51	0.1245	-1.659
15.0000	19.81	0.1233	-1.679
15.5000	20.09	0.1222	-1.702
16.0000	20.34	0.1211	-1.727
16.5000	20.57	0.1199	-1.753
17.0000	20.78	0.1189	-1.779
17.5000	20.98	0.1178	-1.805
18.0000	21.16	0.1167	-1.831
18.5000	21.33	0.1157	-1.855
19.0000	21.50	0.1147	-1.879
19.5000	21.65	0.1138	-1.903
20.0000	21.80	0.1128	-1.925
20.5000	21.95	0.1119	-1.946
21.0000	22.09	0.1110	-1.967























































































































