"age"	"mu"	"sigma"	"nu"
0	13.3	0.0838	1.5
0.0192	13.72	0.0838	1.3
0.0383	14.1	0.0839	1.128
0.0575	14.53	0.0839	0.977
0.0767	14.86	0.084	0.86
0.0958	15.14	0.084	0.763
0.115	15.39	0.084	0.678
0.1342	15.62	0.084	0.601
0.1533	15.82	0.0841	0.532
0.1725	16.01	0.0841	0.469
0.1916	16.18	0.0841	0.411
0.23	16.47	0.0841	0.305
0.2683	16.72	0.0842	0.212
0.3066	16.91	0.0843	0.128
0.345	17.08	0.0844	0.051
0.3833	17.22	0.0844	-0.019
0.4216	17.34	0.0846	-0.084
0.46	17.44	0.0847	-0.144
0.4983	17.53	0.0848	-0.2
0.5366	17.6	0.0849	-0.252
0.6133	17.7	0.0852	-0.348
0.6899	17.76	0.0854	-0.434
0.7666	17.8	0.0857	-0.511
0.8433	17.81	0.0859	-0.581
0.9199	17.81	0.0862	-0.645
0.9966	17.79	0.0864	-0.704
1.0732	17.75	0.0866	-0.759
1.1499	17.71	0.0868	-0.811
1.2266	17.66	0.087	-0.859
1.5	17.45	0.0877	-1.009
2	17.05	0.089	-1.221
2.5	16.73	0.0904	-1.38
3	16.51	0.0922	-1.505
3.5	16.36	0.0944	-1.603
4	16.28	0.097	-1.681
4.5	16.24	0.0998	-1.742
5	16.26	0.1028	-1.789
5.5	16.31	0.106	-1.825
6	16.41	0.1092	-1.85
6.5	16.52	0.1124	-1.867
7	16.65	0.1156	-1.876
7.5	16.79	0.1186	-1.879
8	16.96	0.1216	-1.876
8.5	17.16	0.1244	-1.868
9	17.36	0.1271	-1.856
9.5	17.58	0.1296	-1.84
10	17.8	0.1319	-1.821
10.5	18.02	0.1341	-1.798
11	18.26	0.1361	-1.773
11.5	18.52	0.1379	-1.746
12	18.79	0.1395	-1.717
12.5	19.09	0.141	-1.686
13	19.39	0.1423	-1.654
13.5	19.71	0.1434	-1.621
14	20.03	0.1444	-1.587
14.5	20.34	0.1453	-1.553
15	20.65	0.1461	-1.518
15.5	20.94	0.1469	-1.482
16	21.22	0.1475	-1.447
16.5	21.5	0.1482	-1.411
17	21.76	0.1488	-1.375
17.5	22	0.1493	-1.34
18	22.24	0.1499	-1.304
18.5	22.46	0.1504	-1.268
19	22.68	0.1509	-1.233
19.5	22.89	0.1514	-1.199
20	23.1	0.1519	-1.164
