"age"	"mu"	"sigma"	"nu"
0	13.4	0.054	1
0.0192	13.7	0.057	0.92
0.0383	13.95	0.06	0.86
0.0575	14.2	0.063	0.8
0.0767	14.45	0.0655	0.745
0.0958	14.74	0.0684	0.695
0.115	14.99	0.071	0.653
0.1342	15.21	0.0732	0.615
0.1533	15.42	0.0752	0.58
0.1725	15.61	0.0769	0.548
0.1916	15.78	0.0784	0.519
0.23	16.08	0.0811	0.466
0.2683	16.33	0.0834	0.419
0.3066	16.53	0.0852	0.376
0.345	16.7	0.0868	0.338
0.3833	16.84	0.0881	0.302
0.4216	16.95	0.0893	0.27
0.46	17.05	0.0903	0.239
0.4983	17.12	0.0911	0.211
0.5366	17.18	0.0919	0.184
0.6133	17.26	0.0932	0.135
0.6899	17.3	0.0941	0.091
0.7666	17.32	0.0948	0.051
0.8433	17.32	0.0954	0.014
0.9199	17.31	0.0959	-0.02
0.9966	17.29	0.0963	-0.052
1.0732	17.26	0.0967	-0.082
1.1499	17.23	0.0971	-0.109
1.2266	17.2	0.0975	-0.135
1.5	17.06	0.0987	-0.217
2	16.81	0.1006	-0.336
2.5	16.66	0.1025	-0.429
3	16.6	0.1044	-0.506
3.5	16.57	0.1068	-0.571
4	16.53	0.1094	-0.627
4.5	16.45	0.1122	-0.675
5	16.38	0.1152	-0.718
5.5	16.33	0.1183	-0.759
6	16.34	0.1216	-0.797
6.5	16.4	0.1252	-0.832
7	16.51	0.1288	-0.865
7.5	16.68	0.1324	-0.897
8	16.9	0.136	-0.929
8.5	17.16	0.1394	-0.96
9	17.47	0.1427	-0.99
9.5	17.8	0.1457	-1.021
10	18.16	0.1484	-1.052
10.5	18.54	0.1508	-1.083
11	18.92	0.1528	-1.114
11.5	19.31	0.1545	-1.147
12	19.7	0.1558	-1.18
12.5	20.08	0.1568	-1.214
13	20.45	0.1576	-1.249
13.5	20.8	0.1582	-1.285
14	21.12	0.1586	-1.32
14.5	21.43	0.159	-1.356
15	21.7	0.1592	-1.392
15.5	21.96	0.1593	-1.427
16	22.2	0.1595	-1.462
16.5	22.43	0.1595	-1.497
17	22.64	0.1596	-1.531
17.5	22.85	0.1597	-1.564
18	23.04	0.1597	-1.597
18.5	23.23	0.1597	-1.629
19	23.41	0.1598	-1.661
19.5	23.59	0.1598	-1.692
20	23.77	0.1598	-1.723
20.5	23.95	0.1598	-1.753
