"age"	"mu"	"sigma"	"nu"
0	3.57	0.1096	1.38
0.0192	3.89	0.1097	1.361
0.0383	4.17	0.1097	1.3417
0.0575	4.36	0.1097	1.3232
0.0767	4.54	0.1098	1.3048
0.0958	4.72	0.1098	1.2863
0.115	4.91	0.1098	1.2678
0.1342	5.09	0.1099	1.2494
0.1533	5.27	0.1099	1.231
0.1725	5.45	0.11	1.2126
0.1916	5.63	0.11	1.1943
0.23	5.98	0.1101	1.1579
0.2683	6.32	0.1102	1.1219
0.3066	6.64	0.1103	1.0863
0.345	6.96	0.1105	1.0513
0.3833	7.25	0.1106	1.0169
0.4216	7.54	0.1107	0.9832
0.46	7.82	0.1109	0.9501
0.4983	8.08	0.111	0.9178
0.5366	8.33	0.1112	0.8862
0.6133	8.79	0.1115	0.8255
0.6899	9.22	0.1119	0.7681
0.7666	9.61	0.1123	0.7142
0.8433	9.96	0.1127	0.6637
0.9199	10.28	0.1132	0.6165
0.9966	10.57	0.1136	0.5726
1.0732	10.84	0.1141	0.5317
1.1499	11.09	0.1145	0.4936
1.2266	11.32	0.115	0.4582
1.5	12.05	0.1165	0.3492
2	13.19	0.1192	0.1917
2.5	14.25	0.1218	0.0628
3	15.21	0.1244	-0.0468
3.5	16.15	0.1269	-0.1462
4	17.12	0.1296	-0.2416
4.5	18.13	0.1325	-0.3339
5	19.17	0.1356	-0.4229
5.5	20.27	0.139	-0.509
6	21.43	0.1427	-0.5909
6.5	22.62	0.1466	-0.6677
7	23.86	0.1508	-0.7376
7.5	25.13	0.1552	-0.7993
8	26.45	0.1597	-0.8519
8.5	27.81	0.1643	-0.8941
9	29.23	0.1688	-0.925
9.5	30.7	0.1731	-0.9435
10	32.22	0.1773	-0.9496
10.5	33.81	0.1811	-0.9441
11	35.46	0.1846	-0.927
11.5	37.24	0.1879	-0.8987
12	39.17	0.1908	-0.8606
12.5	41.27	0.1931	-0.8167
13	43.55	0.1946	-0.7731
13.5	46.04	0.1947	-0.7346
14	48.74	0.1933	-0.7011
14.5	51.52	0.1905	-0.6695
15	54.18	0.1869	-0.6401
15.5	56.59	0.1826	-0.6165
16	58.7	0.178	-0.6021
16.5	60.51	0.1734	-0.5953
17	62.05	0.1689	-0.5929
17.5	63.36	0.1647	-0.5936
18	64.5	0.1606	-0.5959
18.5	65.52	0.1566	-0.599
19	66.45	0.1527	-0.603
19.5	67.33	0.1489	-0.6077
20	68.19	0.1451	-0.6126
