"age"	"mu"	"sigma"	"nu"
0	3.37	0.1281	1.164
0.0192	3.55	0.128	1.141
0.0383	3.73	0.128	1.1156
0.0575	3.9	0.1279	1.0894
0.0767	4.07	0.1279	1.0632
0.0958	4.25	0.1279	1.037
0.115	4.42	0.1278	1.0108
0.1342	4.59	0.1278	0.9847
0.1533	4.77	0.1277	0.9585
0.1725	4.94	0.1277	0.9325
0.1916	5.1	0.1277	0.9065
0.23	5.43	0.1276	0.8548
0.2683	5.75	0.1275	0.8035
0.3066	6.07	0.1274	0.7527
0.345	6.37	0.1274	0.7027
0.3833	6.66	0.1273	0.6533
0.4216	6.94	0.1273	0.6049
0.46	7.21	0.1272	0.5574
0.4983	7.48	0.1272	0.5109
0.5366	7.73	0.1272	0.4655
0.6133	8.2	0.1272	0.3781
0.6899	8.63	0.1272	0.2954
0.7666	9.03	0.1273	0.2178
0.8433	9.4	0.1275	0.145
0.9199	9.74	0.1277	0.0772
0.9966	10.06	0.128	0.0141
1.0732	10.35	0.1283	-0.0444
1.1499	10.63	0.1286	-0.0986
1.2266	10.89	0.129	-0.1489
1.5	11.7	0.1304	-0.3004
2	12.89	0.1331	-0.4973
2.5	13.88	0.1358	-0.6339
3	14.8	0.1385	-0.7418
3.5	15.76	0.1415	-0.8368
4	16.79	0.1449	-0.9221
4.5	17.86	0.1488	-0.9952
5	18.94	0.1529	-1.0531
5.5	20.03	0.1571	-1.1008
6	21.13	0.1616	-1.1343
6.5	22.25	0.1661	-1.1559
7	23.4	0.1706	-1.1664
7.5	24.63	0.1753	-1.1663
8	25.96	0.1799	-1.1547
8.5	27.35	0.1843	-1.1315
9	28.84	0.1885	-1.0961
9.5	30.44	0.1925	-1.047
10	32.19	0.1961	-0.9815
10.5	34.17	0.1993	-0.8974
11	36.47	0.2017	-0.795
11.5	39.08	0.2024	-0.6811
12	41.86	0.2013	-0.5746
12.5	44.69	0.1986	-0.4911
13	47.36	0.1943	-0.4368
13.5	49.71	0.189	-0.4081
14	51.71	0.1835	-0.3961
14.5	53.32	0.1786	-0.3914
15	54.6	0.1745	-0.388
15.5	55.63	0.1711	-0.3845
16	56.44	0.1684	-0.381
16.5	57.1	0.1664	-0.3777
17	57.64	0.1649	-0.3747
17.5	58.08	0.1636	-0.3719
18	58.46	0.1626	-0.3693
18.5	58.79	0.1618	-0.367
19	59.09	0.161	-0.3648
19.5	59.38	0.1603	-0.3626
20	59.67	0.1597	-0.3605
20.5	59.95	0.159	-0.3584
