"age"	"mu"	"sigma"	"nu"
0	3.55	0.115	0.629
0.0192	3.75	0.115	0.617
0.0383	3.94	0.115	0.604
0.0575	4.13	0.115	0.592
0.0767	4.33	0.115	0.58
0.0958	4.53	0.115	0.569
0.115	4.72	0.114	0.557
0.1342	4.92	0.114	0.546
0.1533	5.11	0.114	0.534
0.1725	5.3	0.114	0.523
0.1916	5.48	0.114	0.512
0.23	5.84	0.114	0.49
0.2683	6.19	0.114	0.468
0.3066	6.51	0.113	0.448
0.345	6.82	0.113	0.428
0.3833	7.11	0.113	0.409
0.4216	7.39	0.113	0.391
0.46	7.65	0.113	0.373
0.4983	7.89	0.113	0.357
0.5366	8.12	0.113	0.341
0.6133	8.55	0.112	0.311
0.6899	8.95	0.112	0.285
0.7666	9.3	0.112	0.26
0.8433	9.63	0.112	0.237
0.9199	9.94	0.112	0.216
0.9966	10.23	0.112	0.196
1.0732	10.5	0.113	0.177
1.1499	10.75	0.113	0.16
1.2266	11	0.113	0.143
1.5	11.78	0.113	0.092
2	13.02	0.114	0.014
2.5	14.12	0.116	-0.053
3	15.19	0.117	-0.116
3.5	16.28	0.119	-0.177
4	17.42	0.122	-0.239
4.5	18.6	0.124	-0.3
5	19.82	0.127	-0.359
5.5	21.08	0.13	-0.416
6	22.37	0.134	-0.469
6.5	23.68	0.137	-0.518
7	25.03	0.141	-0.56
7.5	26.43	0.144	-0.597
8	27.86	0.148	-0.627
8.5	29.3	0.152	-0.648
9	30.76	0.155	-0.659
9.5	32.25	0.159	-0.661
10	33.79	0.162	-0.651
10.5	35.43	0.165	-0.629
11	37.23	0.169	-0.591
11.5	39.24	0.172	-0.536
12	41.48	0.175	-0.464
12.5	43.99	0.177	-0.383
13	46.77	0.179	-0.302
13.5	49.77	0.178	-0.232
14	52.87	0.176	-0.18
14.5	55.94	0.172	-0.15
15	58.82	0.167	-0.138
15.5	61.45	0.161	-0.139
16	63.77	0.156	-0.148
16.5	65.75	0.151	-0.161
17	67.43	0.147	-0.174
17.5	68.85	0.143	-0.187
18	70.06	0.14	-0.199
18.5	71.1	0.137	-0.208
19	72.04	0.135	-0.217
19.5	72.89	0.133	-0.225
20	73.7	0.13	-0.232
20.5	74.49	0.128	-0.24
21	75.28	0.126	-0.247
