"age"	"mu"	"sigma"	"nu"
0	3.34	0.115	0.369
0.0192	3.51	0.115	0.359
0.0383	3.69	0.115	0.349
0.0575	3.86	0.115	0.339
0.0767	4.03	0.115	0.328
0.0958	4.21	0.115	0.319
0.115	4.38	0.114	0.309
0.1342	4.56	0.114	0.3
0.1533	4.73	0.114	0.289
0.1725	4.9	0.113	0.28
0.1916	5.07	0.113	0.27
0.23	5.4	0.113	0.251
0.2683	5.72	0.112	0.233
0.3066	6.03	0.112	0.215
0.345	6.32	0.112	0.198
0.3833	6.59	0.111	0.182
0.4216	6.85	0.111	0.166
0.46	7.1	0.111	0.152
0.4983	7.33	0.11	0.137
0.5366	7.55	0.11	0.124
0.6133	7.95	0.11	0.099
0.6899	8.32	0.11	0.076
0.7666	8.66	0.11	0.056
0.8433	8.97	0.109	0.036
0.9199	9.27	0.11	0.018
0.9966	9.55	0.11	0.002
1.0732	9.81	0.11	-0.014
1.1499	10.06	0.11	-0.029
1.2266	10.3	0.11	-0.043
1.5	11.06	0.111	-0.087
2	12.32	0.113	-0.158
2.5	13.52	0.115	-0.222
3	14.68	0.118	-0.281
3.5	15.82	0.121	-0.338
4	16.94	0.124	-0.39
4.5	18.05	0.128	-0.44
5	19.21	0.132	-0.488
5.5	20.44	0.136	-0.534
6	21.77	0.141	-0.579
6.5	23.19	0.145	-0.619
7	24.68	0.151	-0.654
7.5	26.22	0.156	-0.681
8	27.8	0.161	-0.698
8.5	29.4	0.167	-0.703
9	31.04	0.172	-0.698
9.5	32.75	0.177	-0.679
10	34.52	0.181	-0.648
10.5	36.4	0.186	-0.606
11	38.46	0.189	-0.553
11.5	40.73	0.191	-0.492
12	43.21	0.19	-0.432
12.5	45.8	0.185	-0.386
13	48.32	0.178	-0.366
13.5	50.64	0.17	-0.378
14	52.7	0.162	-0.42
14.5	54.48	0.155	-0.481
15	56	0.15	-0.552
15.5	57.29	0.146	-0.627
16	58.37	0.143	-0.7
16.5	59.28	0.14	-0.766
17	60.04	0.139	-0.825
17.5	60.7	0.137	-0.877
18	61.27	0.136	-0.923
18.5	61.79	0.135	-0.965
19	62.25	0.134	-1.003
19.5	62.68	0.133	-1.038
20	63.08	0.132	-1.07
20.5	63.47	0.132	-1.102
21	63.85	0.131	-1.133
