"age"	"mu"	"sigma"	"nu"
0	3.44	0.1165	0.4975
0.0192	3.7	0.1165	0.49
0.0383	4	0.1165	0.4825
0.0575	4.2	0.1164	0.4758
0.0767	4.4	0.1164	0.4691
0.0958	4.59	0.1164	0.4624
0.115	4.79	0.1164	0.4557
0.1342	4.99	0.1163	0.4491
0.1533	5.18	0.1163	0.4424
0.1725	5.37	0.1163	0.4357
0.1916	5.56	0.1163	0.4291
0.23	5.94	0.1162	0.4159
0.2683	6.3	0.1162	0.4028
0.3066	6.64	0.1161	0.3899
0.345	6.97	0.1161	0.3771
0.3833	7.29	0.1161	0.3646
0.4216	7.59	0.1161	0.3522
0.46	7.88	0.1161	0.3401
0.4983	8.15	0.1161	0.3283
0.5366	8.41	0.1161	0.3167
0.6133	8.88	0.1162	0.2943
0.6899	9.31	0.1163	0.2731
0.7666	9.7	0.1164	0.2529
0.8433	10.06	0.1166	0.2339
0.9199	10.39	0.1168	0.216
0.9966	10.7	0.117	0.1991
1.0732	10.98	0.1172	0.1831
1.1499	11.25	0.1175	0.1681
1.2266	11.5	0.1177	0.1539
1.5	12.29	0.1186	0.1095
2	13.46	0.1202	0.046
2.5	14.5	0.122	-0.0072
3	15.53	0.124	-0.0582
3.5	16.57	0.1265	-0.1083
4	17.65	0.1293	-0.1592
4.5	18.77	0.1326	-0.2112
5	19.97	0.1364	-0.2651
5.5	21.24	0.1406	-0.3205
6	22.55	0.145	-0.376
6.5	23.88	0.1496	-0.4302
7	25.2	0.1543	-0.482
7.5	26.57	0.159	-0.5317
8	28.06	0.1639	-0.5803
8.5	29.67	0.1692	-0.6263
9	31.33	0.1746	-0.6668
9.5	32.96	0.1801	-0.6996
10	34.55	0.1858	-0.7235
10.5	36.12	0.1916	-0.7385
11	37.78	0.1974	-0.7439
11.5	39.67	0.2029	-0.7383
12	41.9	0.2074	-0.7201
12.5	44.52	0.2099	-0.6876
13	47.43	0.2097	-0.6419
13.5	50.5	0.2069	-0.587
14	53.49	0.2019	-0.528
14.5	56.22	0.1953	-0.4709
15	58.62	0.1879	-0.4196
15.5	60.7	0.1803	-0.3738
16	62.5	0.1731	-0.3328
16.5	64.01	0.1667	-0.2962
17	65.25	0.1611	-0.2641
17.5	66.26	0.1564	-0.2364
18	67.07	0.1525	-0.2131
18.5	67.74	0.1492	-0.1934
19	68.3	0.1464	-0.1763
19.5	68.79	0.144	-0.1612
20	69.24	0.1417	-0.1471
