"age"	"mu"	"sigma"	"nu"
0	3.26	0.1238	1.275
0.0192	3.55	0.1239	1.262
0.0383	3.8	0.1239	1.2481
0.0575	3.98	0.124	1.2351
0.0767	4.15	0.124	1.2222
0.0958	4.33	0.124	1.2092
0.115	4.5	0.1241	1.1963
0.1342	4.68	0.1241	1.1834
0.1533	4.85	0.1242	1.1705
0.1725	5.02	0.1242	1.1576
0.1916	5.19	0.1242	1.1447
0.23	5.53	0.1243	1.1192
0.2683	5.85	0.1244	1.0939
0.3066	6.16	0.1244	1.0688
0.345	6.46	0.1245	1.0441
0.3833	6.75	0.1245	1.0197
0.4216	7.02	0.1245	0.9957
0.46	7.28	0.1245	0.9721
0.4983	7.53	0.1245	0.9489
0.5366	7.77	0.1245	0.9263
0.6133	8.2	0.1244	0.8824
0.6899	8.59	0.1243	0.8405
0.7666	8.95	0.1242	0.8007
0.8433	9.29	0.1241	0.7629
0.9199	9.6	0.1241	0.7271
0.9966	9.89	0.124	0.693
1.0732	10.17	0.124	0.6607
1.1499	10.44	0.1239	0.63
1.2266	10.7	0.124	0.6009
1.5	11.55	0.1242	0.5086
2	12.93	0.1254	0.3701
2.5	14.2	0.1272	0.254
3	15.49	0.1296	0.1468
3.5	16.76	0.1325	0.0484
4	17.89	0.1356	-0.0361
4.5	18.83	0.1387	-0.1045
5	19.69	0.1419	-0.1642
5.5	20.56	0.1452	-0.2226
6	21.5	0.1491	-0.2798
6.5	22.56	0.1538	-0.3373
7	23.8	0.1595	-0.3942
7.5	25.24	0.1664	-0.447
8	26.89	0.1743	-0.4905
8.5	28.75	0.1832	-0.518
9	30.82	0.1924	-0.5223
9.5	33.04	0.2015	-0.4974
10	35.38	0.2096	-0.4429
10.5	37.82	0.2158	-0.3694
11	40.36	0.2189	-0.3004
11.5	42.94	0.2185	-0.2542
12	45.51	0.2148	-0.2475
12.5	47.98	0.2088	-0.2868
13	50.23	0.202	-0.3664
13.5	52.13	0.1955	-0.469
14	53.68	0.1901	-0.575
14.5	54.94	0.1857	-0.6734
15	55.92	0.1822	-0.7575
15.5	56.68	0.1795	-0.8251
16	57.24	0.1775	-0.8773
16.5	57.66	0.176	-0.9165
17	57.96	0.1749	-0.9454
17.5	58.18	0.1741	-0.9663
18	58.33	0.1735	-0.9802
18.5	58.46	0.1731	-0.9926
19	58.57	0.1727	-1.0031
19.5	58.69	0.1722	-1.014
20	58.81	0.1718	-1.0251
20.5	58.92	0.1714	-1.0363
