year	month	L	M	S
0,0000	0	0,2037	30,9979	0,0880
0,2500	3	0,0310	37,2577	0,0821
0,5000	6	-0,1253	41,3632	0,0770
0,7500	9	-0,2601	43,4303	0,0729
1,0000	12	-0,3765	44,7415	0,0697
1,2500	15	-0,4745	45,8623	0,0675
1,5000	18	-0,5548	46,8787	0,0661
1,7500	21	-0,6200	47,7545	0,0653
2,0000	24	-0,6750	48,5268	0,0648
2,2500	27	-0,7241	49,2511	0,0645
2,5000	30	-0,7709	49,9724	0,0644
2,7500	33	-0,8166	50,6994	0,0644
3,0000	36	-0,8612	51,4235	0,0645
3,2500	39	-0,9050	52,1407	0,0648
3,5000	42	-0,9477	52,8431	0,0652
3,7500	45	-0,9887	53,5184	0,0658
4,0000	48	-1,0281	54,1724	0,0664
4,2500	51	-1,0663	54,8179	0,0672
4,5000	54	-1,1029	55,4522	0,0680
4,7500	57	-1,1377	56,0737	0,0689
5,0000	60	-1,1705	56,6853	0,0699
5,2500	63	-1,2012	57,2876	0,0710
5,5000	66	-1,2296	57,8788	0,0721
5,7500	69	-1,2556	58,4592	0,0732
6,0000	72	-1,2791	59,0299	0,0743
6,2500	75	-1,3000	59,5950	0,0755
6,5000	78	-1,3183	60,1617	0,0766
6,7500	81	-1,3341	60,7394	0,0778
7,0000	84	-1,3471	61,3392	0,0789
7,2500	87	-1,3571	61,9746	0,0800
7,5000	90	-1,3634	62,6600	0,0811
7,7500	93	-1,3653	63,4017	0,0821
8,0000	96	-1,3618	64,1904	0,0829
8,2500	99	-1,3525	65,0062	0,0837
8,5000	102	-1,3371	65,8303	0,0843
8,7500	105	-1,3158	66,6457	0,0847
9,0000	108	-1,2889	67,4414	0,0851
9,2500	111	-1,2569	68,2163	0,0853
9,5000	114	-1,2199	68,9747	0,0855
9,7500	117	-1,1783	69,7160	0,0856
10,0000	120	-1,1323	70,4384	0,0857
10,2500	123	-1,0822	71,1452	0,0858
10,5000	126	-1,0281	71,8432	0,0859
10,7500	129	-0,9699	72,5449	0,0861
11,0000	132	-0,9072	73,2618	0,0863
11,2500	135	-0,8403	73,9917	0,0865
11,5000	138	-0,7697	74,7293	0,0867
11,7500	141	-0,6956	75,4854	0,0869
12,0000	144	-0,6180	76,2803	0,0871
12,2500	147	-0,5378	77,1206	0,0872
12,5000	150	-0,4566	77,9989	0,0872
12,7500	153	-0,3760	78,9049	0,0872
13,0000	156	-0,2977	79,8331	0,0870
13,2500	159	-0,2230	80,7812	0,0867
13,5000	162	-0,1532	81,7461	0,0862
13,7500	165	-0,0896	82,7171	0,0854
14,0000	168	-0,0332	83,6802	0,0845
14,2500	171	0,0153	84,6191	0,0833
14,5000	174	0,0558	85,5150	0,0820
14,7500	177	0,0890	86,3528	0,0807
15,0000	180	0,1161	87,1308	0,0794
15,2500	183	0,1382	87,8496	0,0782
15,5000	186	0,1565	88,5080	0,0772
15,7500	189	0,1718	89,1075	0,0762
16,0000	192	0,1848	89,6492	0,0754
16,2500	195	0,1959	90,1319	0,0747
16,5000	198	0,2053	90,5561	0,0741
16,7500	201	0,2134	90,9274	0,0736
17,0000	204	0,2203	91,2563	0,0732
17,2500	207	0,2265	91,5533	0,0728
17,5000	210	0,2320	91,8260	0,0725
17,7500	213	0,2371	92,0795	0,0721
18,0000	216	0,2418	92,3186	0,0718
18,2500	219	0,2462	92,5456	0,0716
18,5000	222	0,2503	92,7567	0,0713
18,7500	225	0,2541	92,9515	0,0711
19,0000	228	0,2574	93,1259	0,0709
19,2500	231	0,2604	93,2778	0,0707
19,5000	234	0,2630	93,4122	0,0705
19,7500	237	0,2653	93,5355	0,0704
20,0000	240	0,2675	93,6494	0,0702
20,2500	243	0,2696	93,7568	0,0701
20,5000	246	0,2716	93,8611	0,0699
20,7500	249	0,2735	93,9630	0,0698
21,0000	252	0,2754	94,0613	0,0697
21,2500	255	0,2773	94,1574	0,0696
21,5000	258	0,2791	94,2529	0,0695
