year	month	L	M	S
0,0000	0	-0,3800	30,1321	0,0868
0,2500	3	-0,3992	36,8372	0,0826
0,5000	6	-0,4058	41,1225	0,0788
0,7500	9	-0,4062	43,0856	0,0757
1,0000	12	-0,4104	44,3661	0,0733
1,2500	15	-0,4184	45,4536	0,0715
1,5000	18	-0,4283	46,4879	0,0704
1,7500	21	-0,4390	47,4692	0,0696
2,0000	24	-0,4504	48,4004	0,0692
2,2500	27	-0,4624	49,3121	0,0691
2,5000	30	-0,4752	50,2241	0,0691
2,7500	33	-0,4889	51,1224	0,0694
3,0000	36	-0,5033	51,9881	0,0699
3,2500	39	-0,5181	52,8034	0,0706
3,5000	42	-0,5327	53,5506	0,0714
3,7500	45	-0,5470	54,2204	0,0722
4,0000	48	-0,5608	54,8230	0,0731
4,2500	51	-0,5746	55,3871	0,0740
4,5000	54	-0,5883	55,9296	0,0749
4,7500	57	-0,6023	56,4685	0,0759
5,0000	60	-0,6167	57,0217	0,0769
5,2500	63	-0,6320	57,6077	0,0781
5,5000	66	-0,6480	58,2379	0,0793
5,7500	69	-0,6647	58,9094	0,0806
6,0000	72	-0,6814	59,6064	0,0819
6,2500	75	-0,6976	60,3078	0,0833
6,5000	78	-0,7129	61,0078	0,0846
6,7500	81	-0,7273	61,7126	0,0859
7,0000	84	-0,7409	62,4342	0,0872
7,2500	87	-0,7533	63,1722	0,0885
7,5000	90	-0,7643	63,9286	0,0898
7,7500	93	-0,7737	64,7129	0,0911
8,0000	96	-0,7811	65,5278	0,0923
8,2500	99	-0,7860	66,3670	0,0935
8,5000	102	-0,7879	67,2229	0,0946
8,7500	105	-0,7862	68,0903	0,0956
9,0000	108	-0,7806	68,9573	0,0966
9,2500	111	-0,7707	69,8084	0,0974
9,5000	114	-0,7564	70,6256	0,0982
9,7500	117	-0,7381	71,3993	0,0988
10,0000	120	-0,7160	72,1421	0,0994
10,2500	123	-0,6899	72,8777	0,0999
10,5000	126	-0,6592	73,6229	0,1003
10,7500	129	-0,6234	74,3951	0,1006
11,0000	132	-0,5817	75,2050	0,1008
11,2500	135	-0,5336	76,0612	0,1009
11,5000	138	-0,4786	76,9735	0,1008
11,7500	141	-0,4163	77,9523	0,1006
12,0000	144	-0,3472	78,9943	0,1003
12,2500	147	-0,2729	80,0786	0,0998
12,5000	150	-0,1959	81,1649	0,0992
12,7500	153	-0,1189	82,2132	0,0984
13,0000	156	-0,0437	83,2082	0,0977
13,2500	159	0,0276	84,1433	0,0969
13,5000	162	0,0940	85,0169	0,0961
13,7500	165	0,1549	85,8403	0,0953
14,0000	168	0,2098	86,6097	0,0946
14,2500	171	0,2581	87,3075	0,0939
14,5000	174	0,2996	87,9319	0,0933
14,7500	177	0,3350	88,4892	0,0928
15,0000	180	0,3649	88,9873	0,0924
15,2500	183	0,3904	89,4384	0,0920
15,5000	186	0,4125	89,8546	0,0916
15,7500	189	0,4317	90,2409	0,0913
16,0000	192	0,4486	90,5994	0,0910
16,2500	195	0,4636	90,9354	0,0907
16,5000	198	0,4772	91,2531	0,0905
16,7500	201	0,4897	91,5589	0,0903
17,0000	204	0,5017	91,8585	0,0900
17,2500	207	0,5132	92,1571	0,0898
17,5000	210	0,5244	92,4518	0,0896
17,7500	213	0,5351	92,7397	0,0894
18,0000	216	0,5453	93,0145	0,0892
18,2500	219	0,5545	93,2652	0,0890
18,5000	222	0,5624	93,4794	0,0889
18,7500	225	0,5685	93,6449	0,0887
19,0000	228	0,5726	93,7555	0,0886
19,2500	231	0,5749	93,8173	0,0886
19,5000	234	0,5756	93,8350	0,0886
19,7500	237	0,5766	93,8616	0,0886
20,0000	240	0,5791	93,9302	0,0885
20,2500	243	0,5832	94,0390	0,0884
20,5000	246	0,5885	94,1803	0,0883
20,7500	249	0,5946	94,3432	0,0882
21,0000	252	0,6011	94,5179	0,0881
21,2500	255	0,6079	94,6979	0,0880
21,5000	258	0,6148	94,8808	0,0878
21,7500	261	0,6217	95,0641	0,0877
