"age"	"mu"	"sigma"	"nu"
0	37.45	0.0332	1
0.0192	37.8	0.0332	1
0.0383	38.187	0.0332	1
0.0575	38.559	0.0331	1
0.0767	38.93	0.0331	1
0.0958	39.297	0.033	1
0.115	39.659	0.033	1
0.1342	40.013	0.033	1
0.1533	40.358	0.0329	1
0.1725	40.693	0.0328	1
0.1916	41.017	0.0328	1
0.23	41.628	0.0326	1
0.2683	42.181	0.0323	1
0.3066	42.683	0.0319	1
0.345	43.12	0.0315	1
0.3833	43.519	0.031	1
0.4216	43.879	0.0305	1
0.46	44.217	0.03	1
0.4983	44.541	0.0295	1
0.5366	44.854	0.0291	1
0.6133	45.429	0.0284	1
0.6899	45.956	0.0278	1
0.7666	46.41	0.0275	1
0.8433	46.805	0.0273	1
0.9199	47.15	0.0272	1
0.9966	47.452	0.0272	1
1.0732	47.719	0.0273	1
1.1499	47.958	0.0275	1
1.2266	48.173	0.0276	1
1.5	48.776	0.0283	1
2	49.45	0.0291	1
