"age"	"mu"	"sigma"	"nu"
0	36	0.033	1
0.0192	36.3	0.033	1
0.0383	36.65	0.0331	1
0.0575	36.95	0.0331	1
0.0767	37.35	0.0332	1
0.0958	37.68	0.0332	1
0.115	38	0.0332	1
0.1342	38.32	0.0333	1
0.1533	38.63	0.0333	1
0.1725	38.93	0.0334	1
0.1916	39.21	0.0334	1
0.23	39.77	0.0334	1
0.2683	40.3	0.0335	1
0.3066	40.82	0.0335	1
0.345	41.32	0.0336	1
0.3833	41.81	0.0336	1
0.4216	42.28	0.0337	1
0.46	42.73	0.0338	1
0.4983	43.15	0.0339	1
0.5366	43.53	0.034	1
0.6133	44.19	0.0342	1
0.6899	44.73	0.0343	1
0.7666	45.17	0.0344	1
0.8433	45.54	0.0345	1
0.9199	45.87	0.0344	1
0.9966	46.16	0.0344	1
1.0732	46.42	0.0343	1
1.1499	46.66	0.0342	1
1.2266	46.88	0.0341	1
1.5	47.51	0.0336	1
2	48.37	0.0327	1
