"age"	"mu"	"sigma"	"nu"
0	35.67	0.0375	1
0.0192	36.1	0.0373	1
0.0383	36.505	0.0371	1
0.0575	36.981	0.0368	1
0.0767	37.451	0.0365	1
0.0958	37.909	0.0361	1
0.115	38.351	0.0357	1
0.1342	38.774	0.0353	1
0.1533	39.179	0.035	1
0.1725	39.566	0.0346	1
0.1916	39.933	0.0343	1
0.23	40.611	0.0335	1
0.2683	41.231	0.0328	1
0.3066	41.813	0.0323	1
0.345	42.354	0.0316	1
0.3833	42.853	0.0313	1
0.4216	43.312	0.0309	1
0.46	43.732	0.0306	1
0.4983	44.118	0.0306	1
0.5366	44.471	0.0304	1
0.6133	45.091	0.0304	1
0.6899	45.625	0.0307	1
0.7666	46.087	0.0308	1
0.8433	46.491	0.031	1
0.9199	46.851	0.0314	1
0.9966	47.17	0.0316	1
1.0732	47.444	0.0318	1
1.1499	47.679	0.0321	1
1.2266	47.883	0.0324	1
1.5	48.454	0.0328	1
2	49.279	0.0331	1
2.5	50.009	0.0334	1
3	50.557	0.0332	1
3.5	50.948	0.0332	1
4	51.206	0.0332	1
4.5	51.376	0.0331	1
5	51.495	0.0332	1
5.5	51.599	0.0329	1
6	51.717	0.0329	1
6.5	51.865	0.033	1
7	52.044	0.0331	1
7.5	52.244	0.0329	1
8	52.45	0.0326	1
8.5	52.651	0.0327	1
9	52.849	0.0325	1
9.5	53.051	0.0324	1
10	53.255	0.0323	1
10.5	53.46	0.0322	1
11	53.673	0.0322	1
11.5	53.892	0.0321	1
12	54.121	0.032	1
12.5	54.371	0.0318	1
13	54.642	0.0317	1
13.5	54.936	0.0315	1
14	55.249	0.0315	1
14.5	55.568	0.0313	1
15	55.878	0.0311	1
15.5	56.167	0.031	1
16	56.422	0.031	1
16.5	56.64	0.0309	1
17	56.821	0.0308	1
17.5	56.981	0.0307	1
18	57.12	0.0306	1
18.5	57.24	0.0306	1
19	57.345	0.0307	1
19.5	57.449	0.0305	1
20	57.563	0.0304	1
20.5	57.689	0.0303	1
21	57.821	0.0303	1
