"age"	"mu"	"sigma"	"nu"
0	35.04	0.0359	1
0.0192	35.43	0.0358	1
0.0383	35.81	0.0357	1
0.0575	36.152	0.0355	1
0.0767	36.551	0.0352	1
0.0958	36.948	0.0349	1
0.115	37.342	0.0345	1
0.1342	37.73	0.0344	1
0.1533	38.109	0.0341	1
0.1725	38.477	0.0337	1
0.1916	38.833	0.0337	1
0.23	39.5	0.0331	1
0.2683	40.117	0.0329	1
0.3066	40.685	0.0322	1
0.345	41.206	0.032	1
0.3833	41.682	0.0317	1
0.4216	42.117	0.0313	1
0.46	42.512	0.0313	1
0.4983	42.871	0.031	1
0.5366	43.199	0.0305	1
0.6133	43.781	0.0306	1
0.6899	44.29	0.0305	1
0.7666	44.744	0.0306	1
0.8433	45.155	0.0306	1
0.9199	45.522	0.0305	1
0.9966	45.852	0.0308	1
1.0732	46.147	0.031	1
1.1499	46.411	0.031	1
1.2266	46.647	0.0311	1
1.5	47.291	0.0313	1
2	48.075	0.0318	1
2.5	48.716	0.032	1
3	49.278	0.0323	1
3.5	49.742	0.0324	1
4	50.106	0.0323	1
4.5	50.381	0.0324	1
5	50.586	0.0322	1
5.5	50.746	0.0323	1
6	50.891	0.0324	1
6.5	51.042	0.0323	1
7	51.213	0.0324	1
7.5	51.412	0.0323	1
8	51.646	0.0321	1
8.5	51.907	0.0322	1
9	52.183	0.0322	1
9.5	52.46	0.032	1
10	52.732	0.0319	1
10.5	52.999	0.0317	1
11	53.268	0.0315	1
11.5	53.54	0.0316	1
12	53.806	0.0312	1
12.5	54.062	0.0313	1
13	54.293	0.0311	1
13.5	54.493	0.031	1
14	54.66	0.0307	1
14.5	54.797	0.0307	1
15	54.911	0.0306	1
15.5	55.007	0.0305	1
16	55.086	0.0305	1
16.5	55.151	0.0305	1
17	55.2	0.0304	1
17.5	55.233	0.0304	1
18	55.25	0.0304	1
18.5	55.258	0.0304	1
19	55.262	0.0304	1
19.5	55.263	0.0304	1
20	55.266	0.0302	1
20.5	55.275	0.0304	1
21	55.286	0.0302	1
