"age"	"mu"	"sigma"	"nu"
0	36.2	0.0299	1
0.0192	36.62	0.0296	1
0.0383	37.02	0.0293	1
0.0575	37.41	0.0291	1
0.0767	37.79	0.0288	1
0.0958	38.17	0.0286	1
0.115	38.53	0.0284	1
0.1342	38.91	0.0281	1
0.1533	39.31	0.0279	1
0.1725	39.71	0.0276	1
0.1916	40.09	0.0274	1
0.23	40.81	0.0269	1
0.2683	41.43	0.0264	1
0.3066	41.97	0.026	1
0.345	42.46	0.0256	1
0.3833	42.92	0.0252	1
0.4216	43.36	0.025	1
0.46	43.78	0.0249	1
0.4983	44.15	0.0248	1
0.5366	44.48	0.0247	1
0.6133	45.04	0.0247	1
0.6899	45.5	0.0247	1
0.7666	45.92	0.0246	1
0.8433	46.32	0.0246	1
0.9199	46.69	0.0246	1
0.9966	47.01	0.0246	1
1.0732	47.27	0.0246	1
1.1499	47.47	0.0246	1
1.2266	47.65	0.0246	1
1.5	48.08	0.0247	1
2	49.35	0.0246	1
