"age"	"mu"	"sigma"	"nu"
0	35.5	0.03	1
0.0192	35.9	0.03	1
0.0383	36.2	0.03	1
0.0575	36.6	0.03	1
0.0767	36.897	0.03	1
0.0958	37.233	0.0301	1
0.115	37.567	0.0301	1
0.1342	37.895	0.0301	1
0.1533	38.219	0.0302	1
0.1725	38.532	0.0302	1
0.1916	38.835	0.0302	1
0.23	39.407	0.0301	1
0.2683	39.921	0.03	1
0.3066	40.405	0.0297	1
0.345	40.869	0.0295	1
0.3833	41.314	0.0293	1
0.4216	41.739	0.0291	1
0.46	42.126	0.029	1
0.4983	42.483	0.0289	1
0.5366	42.816	0.0287	1
0.6133	43.421	0.0285	1
0.6899	43.954	0.0283	1
0.7666	44.434	0.0281	1
0.8433	44.885	0.0278	1
0.9199	45.298	0.0277	1
0.9966	45.659	0.0275	1
1.0732	45.962	0.0274	1
1.1499	46.226	0.0273	1
1.2266	46.446	0.0272	1
1.5	47.007	0.027	1
2	47.88	0.0268	1
