"age"	"mu"	"sigma"	"nu"
0	51	0.0378	1
0.0192	51.72	0.0376	1
0.0383	52.45	0.0372	1
0.0575	53.23	0.037	1
0.0767	54	0.0367	1
0.0958	54.78	0.0365	1
0.115	55.54	0.0363	1
0.1342	56.3	0.036	1
0.1533	57.05	0.0358	1
0.1725	57.78	0.0356	1
0.1916	58.49	0.0354	1
0.23	59.87	0.0349	1
0.2683	61.17	0.0345	1
0.3066	62.4	0.0342	1
0.345	63.58	0.0338	1
0.3833	64.71	0.0335	1
0.4216	65.8	0.0333	1
0.46	66.85	0.033	1
0.4983	67.85	0.0329	1
0.5366	68.82	0.0328	1
0.6133	70.61	0.0327	1
0.6899	72.21	0.0327	1
0.7666	73.64	0.033	1
0.8433	74.92	0.0333	1
0.9199	76.07	0.0336	1
0.9966	77.11	0.0341	1
1.0732	78.07	0.0345	1
1.1499	78.97	0.035	1
1.2266	79.84	0.0355	1
1.5	82.73	0.037	1
2	87.67	0.0386	1
2.5	92.26	0.0394	1
3	96.28	0.0398	1
3.5	100.08	0.04	1
4	103.82	0.0403	1
4.5	107.2	0.0407	1
5	110.28	0.0411	1
5.5	113.25	0.0416	1
6	116.24	0.0421	1
6.5	119.23	0.0427	1
7	122.21	0.0431	1
7.5	125.15	0.0434	1
8	127.99	0.0435	1
8.5	130.71	0.0437	1
9	133.42	0.0439	1
9.5	136.13	0.0442	1
10	138.7	0.0446	1
10.5	141.05	0.0451	1
11	143.27	0.0458	1
11.5	145.6	0.0467	1
12	148.12	0.0477	1
12.5	150.87	0.0488	1
13	153.78	0.0495	1
13.5	156.89	0.0497	1
14	160.27	0.0488	1
14.5	163.69	0.047	1
15	166.78	0.0449	1
15.5	169.29	0.0429	1
16	171.24	0.0411	1
16.5	172.63	0.0398	1
17	173.49	0.0389	1
17.5	173.91	0.0385	1
18	174.02	0.0383	1
18.5	174.13	0.0382	1
19	174.34	0.038	1
19.5	174.55	0.0378	1
20	174.69	0.0376	1
