"age"	"mu"	"sigma"	"nu"
0	49.9	0.0458	1
0.0192	50.6	0.0456	1
0.0383	51.25	0.0454	1
0.0575	52.01	0.0451	1
0.0767	52.77	0.0449	1
0.0958	53.52	0.0447	1
0.115	54.27	0.0444	1
0.1342	55.01	0.0442	1
0.1533	55.75	0.0439	1
0.1725	56.47	0.0437	1
0.1916	57.19	0.0434	1
0.23	58.57	0.0429	1
0.2683	59.88	0.0424	1
0.3066	61.13	0.0419	1
0.345	62.31	0.0414	1
0.3833	63.44	0.0409	1
0.4216	64.51	0.0404	1
0.46	65.51	0.0399	1
0.4983	66.46	0.0394	1
0.5366	67.35	0.0389	1
0.6133	68.97	0.038	1
0.6899	70.4	0.0372	1
0.7666	71.68	0.0366	1
0.8433	72.82	0.036	1
0.9199	73.86	0.0355	1
0.9966	74.85	0.035	1
1.0732	75.82	0.0346	1
1.1499	76.79	0.0343	1
1.2266	77.78	0.034	1
1.5	81.28	0.0332	1
2	86.76	0.0329	1
2.5	91.01	0.0335	1
3	94.83	0.0347	1
3.5	98.69	0.0363	1
4	102.41	0.0381	1
4.5	105.87	0.0399	1
5	109	0.0415	1
5.5	111.92	0.0429	1
6	114.64	0.0439	1
6.5	117.35	0.0447	1
7	120.19	0.0454	1
7.5	123.19	0.046	1
8	126.35	0.0466	1
8.5	129.45	0.0471	1
9	132.41	0.0473	1
9.5	135.24	0.0473	1
10	137.99	0.047	1
10.5	140.88	0.0465	1
11	144	0.0456	1
11.5	147.27	0.0444	1
12	150.47	0.0429	1
12.5	153.36	0.0413	1
13	155.65	0.0399	1
13.5	157.37	0.0387	1
14	158.6	0.0377	1
14.5	159.33	0.0371	1
15	159.79	0.0367	1
15.5	160.12	0.0364	1
16	160.3	0.0362	1
16.5	160.34	0.0362	1
17	160.44	0.0361	1
17.5	160.65	0.0359	1
18	160.92	0.0357	1
18.5	161.15	0.0354	1
19	161.24	0.0354	1
19.5	161.26	0.0353	1
20	161.31	0.0353	1
20.5	161.39	0.0352	1
