"age"	"mu"	"sigma"	"nu"
0	51.32	0.0405	1
0.0192	52.1	0.0404	1
0.0383	52.88	0.0403	1
0.0575	53.67	0.0401	1
0.0767	54.46	0.04	1
0.0958	55.26	0.0396	1
0.115	56.05	0.0394	1
0.1342	56.83	0.0394	1
0.1533	57.6	0.0392	1
0.1725	58.36	0.0391	1
0.1916	59.1	0.0387	1
0.23	60.51	0.0385	1
0.2683	61.82	0.0382	1
0.3066	63.03	0.0379	1
0.345	64.16	0.0376	1
0.3833	65.2	0.0374	1
0.4216	66.18	0.037	1
0.46	67.09	0.037	1
0.4983	67.94	0.0368	1
0.5366	68.75	0.0367	1
0.6133	70.25	0.0363	1
0.6899	71.63	0.0362	1
0.7666	72.93	0.0361	1
0.8433	74.17	0.036	1
0.9199	75.36	0.036	1
0.9966	76.5	0.0359	1
1.0732	77.6	0.0358	1
1.1499	78.66	0.0359	1
1.2266	79.69	0.0359	1
1.5	83.11	0.0361	1
2	88.85	0.0366	1
2.5	93.81	0.037	1
3	98.07	0.0374	1
3.5	102.04	0.0376	1
4	105.82	0.0381	1
4.5	109.5	0.0387	1
5	113.11	0.0394	1
5.5	116.65	0.0402	1
6	120.08	0.041	1
6.5	123.39	0.0417	1
7	126.63	0.0425	1
7.5	129.8	0.0431	1
8	132.83	0.0438	1
8.5	135.66	0.0444	1
9	138.3	0.0449	1
9.5	140.81	0.0454	1
10	143.24	0.046	1
10.5	145.69	0.0465	1
11	148.24	0.0472	1
11.5	150.99	0.0478	1
12	154	0.0484	1
12.5	157.34	0.0489	1
13	160.92	0.0491	1
13.5	164.59	0.0488	1
14	168.18	0.048	1
14.5	171.49	0.0468	1
15	174.39	0.0452	1
15.5	176.81	0.0438	1
16	178.74	0.0424	1
16.5	180.2	0.0413	1
17	181.25	0.0405	1
17.5	182.01	0.0399	1
18	182.55	0.0395	1
18.5	182.92	0.0393	1
19	183.18	0.039	1
19.5	183.39	0.0388	1
20	183.57	0.0387	1
20.5	183.76	0.0386	1
21	183.96	0.0384	1
