"age"	"mu"	"sigma"	"nu"
0	50.9	0.0376	1
0.0192	51.58	0.0375	1
0.0383	52.26	0.0375	1
0.0575	52.94	0.0374	1
0.0767	53.63	0.0373	1
0.0958	54.31	0.037	1
0.115	54.99	0.0369	1
0.1342	55.67	0.0368	1
0.1533	56.35	0.0368	1
0.1725	57.02	0.0367	1
0.1916	57.68	0.0366	1
0.23	58.97	0.0363	1
0.2683	60.22	0.036	1
0.3066	61.41	0.0357	1
0.345	62.54	0.0355	1
0.3833	63.6	0.0354	1
0.4216	64.6	0.0353	1
0.46	65.54	0.0351	1
0.4983	66.41	0.0349	1
0.5366	67.22	0.0348	1
0.6133	68.73	0.0347	1
0.6899	70.11	0.0346	1
0.7666	71.41	0.0345	1
0.8433	72.66	0.0344	1
0.9199	73.89	0.0345	1
0.9966	75.09	0.0346	1
1.0732	76.27	0.0344	1
1.1499	77.42	0.0347	1
1.2266	78.53	0.0347	1
1.5	82.05	0.0351	1
2	87.49	0.036	1
2.5	92.33	0.0376	1
3	96.65	0.0383	1
3.5	100.65	0.039	1
4	104.45	0.0397	1
4.5	108.14	0.0402	1
5	111.78	0.0408	1
5.5	115.33	0.0414	1
6	118.72	0.0419	1
6.5	121.97	0.0423	1
7	125.17	0.0428	1
7.5	128.36	0.0432	1
8	131.49	0.0437	1
8.5	134.53	0.0441	1
9	137.51	0.0444	1
9.5	140.45	0.0448	1
10	143.31	0.0449	1
10.5	146.19	0.045	1
11	149.19	0.045	1
11.5	152.24	0.0446	1
12	155.27	0.044	1
12.5	158.2	0.0432	1
13	160.84	0.0422	1
13.5	163.01	0.0413	1
14	164.73	0.0406	1
14.5	166.07	0.04	1
15	167.12	0.0396	1
15.5	167.94	0.0392	1
16	168.56	0.0389	1
16.5	168.99	0.0386	1
17	169.28	0.0385	1
17.5	169.52	0.0384	1
18	169.75	0.0383	1
18.5	169.97	0.0382	1
19	170.18	0.0381	1
19.5	170.36	0.038	1
20	170.47	0.038	1
20.5	170.54	0.0379	1
21	170.59	0.0379	1
