"age"	"mu"	"sigma"	"nu"
0	51.5	0.0388	1
0.0192	52.25	0.0385	1
0.0383	53.01	0.0382	1
0.0575	53.76	0.0379	1
0.0767	54.5	0.0376	1
0.0958	55.24	0.0373	1
0.115	55.99	0.037	1
0.1342	56.73	0.0367	1
0.1533	57.46	0.0364	1
0.1725	58.2	0.0361	1
0.1916	58.92	0.0358	1
0.23	60.33	0.0352	1
0.2683	61.68	0.0346	1
0.3066	62.97	0.034	1
0.345	64.2	0.0335	1
0.3833	65.36	0.0331	1
0.4216	66.46	0.0327	1
0.46	67.5	0.0323	1
0.4983	68.46	0.0321	1
0.5366	69.36	0.0319	1
0.6133	70.98	0.0317	1
0.6899	72.43	0.0318	1
0.7666	73.76	0.032	1
0.8433	74.99	0.0324	1
0.9199	76.16	0.0328	1
0.9966	77.27	0.0332	1
1.0732	78.32	0.0337	1
1.1499	79.32	0.0342	1
1.2266	80.26	0.0346	1
1.5	83.26	0.0358	1
2	88.04	0.0369	1
2.5	92.68	0.0373	1
3	97.12	0.0375	1
3.5	101.09	0.0381	1
4	104.77	0.0389	1
4.5	108.22	0.0398	1
5	111.51	0.0405	1
5.5	114.66	0.0409	1
6	117.56	0.0408	1
6.5	120.26	0.0404	1
7	122.78	0.0398	1
7.5	125.31	0.0393	1
8	128.11	0.0389	1
8.5	131.15	0.039	1
9	134.06	0.0395	1
9.5	136.59	0.0405	1
10	138.89	0.0418	1
10.5	141.11	0.0433	1
11	143.42	0.0451	1
11.5	146	0.0469	1
12	149.06	0.0486	1
12.5	152.6	0.0499	1
13	156.34	0.0501	1
13.5	160.06	0.0492	1
14	163.36	0.0473	1
14.5	165.91	0.0449	1
15	167.88	0.0425	1
15.5	169.48	0.0403	1
16	170.77	0.0383	1
16.5	171.78	0.0367	1
17	172.52	0.0355	1
17.5	173.04	0.0347	1
18	173.32	0.0343	1
18.5	173.39	0.0341	1
19	173.46	0.034	1
19.5	173.65	0.0337	1
20	173.96	0.0332	1
