"age"	"mu"	"sigma"	"nu"
0	50.567	0.0426	1
0.0192	51.29	0.0425	1
0.0383	52.001	0.0425	1
0.0575	52.723	0.0424	1
0.0767	53.396	0.0423	1
0.0958	54.068	0.0423	1
0.115	54.739	0.0422	1
0.1342	55.405	0.0422	1
0.1533	56.064	0.0421	1
0.1725	56.714	0.0421	1
0.1916	57.352	0.042	1
0.23	58.59	0.0419	1
0.2683	59.772	0.0417	1
0.3066	60.914	0.0415	1
0.345	62.021	0.0414	1
0.3833	63.096	0.0412	1
0.4216	64.132	0.0409	1
0.46	65.125	0.0407	1
0.4983	66.076	0.0404	1
0.5366	66.982	0.0401	1
0.6133	68.657	0.0396	1
0.6899	70.159	0.039	1
0.7666	71.535	0.0386	1
0.8433	72.824	0.0382	1
0.9199	74.027	0.0379	1
0.9966	75.154	0.0376	1
1.0732	76.216	0.0375	1
1.1499	77.254	0.0374	1
1.2266	78.294	0.0374	1
1.5	81.967	0.0376	1
2	87.625	0.0379	1
2.5	92.262	0.0381	1
3	96.591	0.0383	1
3.5	100.566	0.0384	1
4	104.132	0.0385	1
4.5	107.199	0.0385	1
5	109.859	0.0386	1
5.5	112.432	0.0386	1
6	114.931	0.0388	1
6.5	117.587	0.0391	1
7	120.552	0.0396	1
7.5	123.805	0.0405	1
8	127.067	0.0416	1
8.5	130.198	0.0429	1
9	133.393	0.0442	1
9.5	136.476	0.0453	1
10	139.447	0.0461	1
10.5	142.332	0.0464	1
11	145.296	0.0462	1
11.5	148.358	0.0452	1
12	151.318	0.0436	1
12.5	153.806	0.0418	1
13	155.689	0.0401	1
13.5	157.003	0.0389	1
14	157.93	0.0379	1
14.5	158.669	0.0371	1
15	159.201	0.0365	1
15.5	159.444	0.0362	1
16	159.486	0.0361	1
16.5	159.538	0.0361	1
17	159.648	0.0359	1
17.5	159.779	0.0358	1
18	159.9	0.0356	1
18.5	160.025	0.0354	1
19	160.195	0.0352	1
19.5	160.424	0.0349	1
20	160.703	0.0345	1
20.5	160.992	0.0341	1
