Leeftijd	Lengte	L	M	S
16 - 21	150	0,001	47,2	0,139
16 - 21	151	0,001	47,92	0,139
16 - 21	152	0,001	48,64	0,139
16 - 21	153	0,001	49,36	0,139
16 - 21	154	0,001	50,08	0,139
16 - 21	155	0,001	50,8	0,139
16 - 21	156	0,001	51,52	0,139
16 - 21	157	0,001	52,24	0,139
16 - 21	158	0,001	52,96	0,139
16 - 21	159	0,001	53,68	0,139
16 - 21	160	0,001	54,4	0,139
16 - 21	161	0,001	55,12	0,139
16 - 21	162	0,001	55,84	0,139
16 - 21	163	0,001	56,56	0,139
16 - 21	164	0,001	57,28	0,139
16 - 21	165	0,001	58	0,139
16 - 21	166	0,001	58,72	0,139
16 - 21	167	0,001	59,44	0,139
16 - 21	168	0,001	60,16	0,139
16 - 21	169	0,001	60,88	0,139
16 - 21	170	0,001	61,6	0,139
16 - 21	171	0,001	62,48	0,139
16 - 21	172	0,001	63,36	0,139
16 - 21	173	0,001	64,24	0,139
16 - 21	174	0,001	65,12	0,139
16 - 21	175	0,001	66	0,139
16 - 21	176	0,001	66,88	0,139
16 - 21	177	0,001	67,76	0,139
16 - 21	178	0,001	68,64	0,139
16 - 21	179	0,001	69,52	0,139
16 - 21	180	0,001	70,4	0,139
