Leeftijd	Lengte	L	M	S
0 - 16	50	2,0149	3,56	0,0804
0 - 16	51	1,9647	3,8	0,0808
0 - 16	52	1,9146	4,05	0,0812
0 - 16	53	1,8644	4,29	0,0815
0 - 16	54	1,8143	4,54	0,0819
0 - 16	55	1,7641	4,78	0,0823
0 - 16	56	1,714	5,04	0,0827
0 - 16	57	1,6639	5,3	0,083
0 - 16	58	1,6139	5,55	0,0834
0 - 16	59	1,5638	5,81	0,0837
0 - 16	60	1,5137	6,07	0,0841
0 - 16	61	1,4637	6,33	0,0845
0 - 16	62	1,4137	6,6	0,0849
0 - 16	63	1,3637	6,86	0,0852
0 - 16	64	1,3137	7,13	0,0856
0 - 16	65	1,2637	7,39	0,086
0 - 16	66	1,2137	7,66	0,0864
0 - 16	67	1,1636	7,92	0,0868
0 - 16	68	1,1136	8,18	0,0871
0 - 16	69	1,0635	8,45	0,0875
0 - 16	70	1,0135	8,71	0,0879
0 - 16	71	0,9635	8,97	0,0883
0 - 16	72	0,9134	9,23	0,0887
0 - 16	73	0,8634	9,49	0,089
0 - 16	74	0,8133	9,74	0,0894
0 - 16	75	0,7633	10	0,0898
0 - 16	76	0,7137	10,25	0,0902
0 - 16	77	0,6641	10,49	0,0906
0 - 16	78	0,6146	10,74	0,091
0 - 16	79	0,565	10,98	0,0914
0 - 16	80	0,5154	11,23	0,0918
0 - 16	81	0,4667	11,47	0,0922
0 - 16	82	0,4179	11,7	0,0926
0 - 16	83	0,3692	11,94	0,093
0 - 16	84	0,3204	12,18	0,0934
0 - 16	85	0,2717	12,42	0,0938
0 - 16	86	0,2242	12,65	0,0942
0 - 16	87	0,1767	12,89	0,0946
0 - 16	88	0,1293	13,12	0,095
0 - 16	89	0,0818	13,36	0,0954
0 - 16	90	0,0343	13,6	0,0958
0 - 16	91	-0,0115	13,84	0,0962
0 - 16	92	-0,0573	14,09	0,0966
0 - 16	93	-0,103	14,34	0,0971
0 - 16	94	-0,1488	14,58	0,0975
0 - 16	95	-0,1946	14,83	0,0979
0 - 16	96	-0,2385	15,1	0,0983
0 - 16	97	-0,2823	15,36	0,0988
0 - 16	98	-0,3262	15,63	0,0992
0 - 16	99	-0,37	15,89	0,0997
0 - 16	100	-0,4139	16,16	0,1001
0 - 16	101	-0,4555	16,45	0,1006
0 - 16	102	-0,4971	16,74	0,101
0 - 16	103	-0,5386	17,03	0,1015
0 - 16	104	-0,5802	17,32	0,1019
0 - 16	105	-0,6218	17,61	0,1024
0 - 16	106	-0,6606	17,93	0,1029
0 - 16	107	-0,6994	18,25	0,1034
0 - 16	108	-0,7381	18,57	0,1038
0 - 16	109	-0,7769	18,89	0,1043
