Leeftijd	Lengte	L	M	S
16 - 21	150	0,001	51,2	0,169
16 - 21	151	0,001	51,96	0,169
16 - 21	152	0,001	52,72	0,169
16 - 21	153	0,001	53,48	0,169
16 - 21	154	0,001	54,24	0,169
16 - 21	155	0,001	55	0,169
16 - 21	156	0,001	55,76	0,169
16 - 21	157	0,001	56,52	0,169
16 - 21	158	0,001	57,28	0,169
16 - 21	159	0,001	58,04	0,169
16 - 21	160	0,001	58,8	0,169
16 - 21	161	0,001	59,56	0,169
16 - 21	162	0,001	60,32	0,169
16 - 21	163	0,001	61,08	0,169
16 - 21	164	0,001	61,84	0,169
16 - 21	165	0,001	62,6	0,169
16 - 21	166	0,001	63,36	0,169
16 - 21	167	0,001	64,12	0,169
16 - 21	168	0,001	64,88	0,169
16 - 21	169	0,001	65,64	0,169
16 - 21	170	0,001	66,4	0,169
16 - 21	171	0,001	67,32	0,169
16 - 21	172	0,001	68,24	0,169
16 - 21	173	0,001	69,16	0,169
16 - 21	174	0,001	70,08	0,169
16 - 21	175	0,001	71	0,169
16 - 21	176	0,001	71,92	0,169
16 - 21	177	0,001	72,84	0,169
16 - 21	178	0,001	73,76	0,169
16 - 21	179	0,001	74,68	0,169
16 - 21	180	0,001	75,6	0,169
