Leeftijd	Lengte	L	M	S
0 - 16	50	0,713	3,5363	0,096
0 - 16	51	0,6589	3,753	0,096
0 - 16	52	0,6049	3,9711	0,0959
0 - 16	53	0,5509	4,1912	0,0959
0 - 16	54	0,497	4,4138	0,0958
0 - 16	55	0,4432	4,6393	0,0958
0 - 16	56	0,3896	4,8674	0,0957
0 - 16	57	0,3364	5,098	0,0956
0 - 16	58	0,2835	5,3321	0,0954
0 - 16	59	0,2309	5,5703	0,0953
0 - 16	60	0,1785	5,8134	0,0952
0 - 16	61	0,1263	6,0621	0,095
0 - 16	62	0,0744	6,3162	0,0949
0 - 16	63	0,0226	6,5756	0,0947
0 - 16	64	-0,0288	6,8399	0,0946
0 - 16	65	-0,0801	7,1089	0,0944
0 - 16	66	-0,1311	7,3821	0,0943
0 - 16	67	-0,1819	7,6588	0,0942
0 - 16	68	-0,2325	7,9378	0,0941
0 - 16	69	-0,283	8,2178	0,094
0 - 16	70	-0,3333	8,4975	0,0939
0 - 16	71	-0,3834	8,7757	0,0938
0 - 16	72	-0,4333	9,0512	0,0938
0 - 16	73	-0,4831	9,3231	0,0938
0 - 16	74	-0,5326	9,5906	0,0938
0 - 16	75	-0,582	9,853	0,0939
0 - 16	76	-0,6311	10,1102	0,0939
0 - 16	77	-0,68	10,362	0,094
0 - 16	78	-0,7287	10,6087	0,0941
0 - 16	79	-0,7772	10,8506	0,0943
0 - 16	80	-0,8256	11,0899	0,0944
0 - 16	81	-0,8738	11,3262	0,0946
0 - 16	82	-0,922	11,561	0,0949
0 - 16	83	-0,9702	11,7947	0,0951
0 - 16	84	-1,0183	12,0279	0,0954
0 - 16	85	-1,0664	12,2613	0,0957
0 - 16	86	-1,1145	12,4956	0,0961
0 - 16	87	-1,1626	12,7318	0,0964
0 - 16	88	-1,2108	12,9706	0,0968
0 - 16	89	-1,2591	13,2125	0,0972
0 - 16	90	-1,3074	13,4577	0,0977
0 - 16	91	-1,3558	13,7063	0,0981
0 - 16	92	-1,4041	13,958	0,0986
0 - 16	93	-1,452	14,2126	0,0991
0 - 16	94	-1,4995	14,4702	0,0996
0 - 16	95	-1,5462	14,731	0,1001
0 - 16	96	-1,592	14,9953	0,1007
0 - 16	97	-1,6367	15,2636	0,1012
0 - 16	98	-1,68	15,5363	0,1018
0 - 16	99	-1,7219	15,8138	0,1024
0 - 16	100	-1,762	16,0964	0,103
0 - 16	101	-1,8001	16,3845	0,1037
0 - 16	102	-1,8362	16,6782	0,1044
0 - 16	103	-1,87	16,9776	0,1051
0 - 16	104	-1,9013	17,2826	0,1058
0 - 16	105	-1,9301	17,5934	0,1066
0 - 16	106	-1,9563	17,9101	0,1073
0 - 16	107	-1,98	18,233	0,1081
0 - 16	108	-2,001	18,5624	0,109
0 - 16	109	-2,0196	18,8985	0,1098
0 - 16	110	-2,0356	19,2423	0,1107
0 - 16	111	-2,0491	19,5936	0,1116
0 - 16	112	-2,0601	19,9539	0,1125
0 - 16	113	-2,0687	20,3224	0,1135
0 - 16	114	-2,0749	20,6996	0,1145
0 - 16	115	-2,0786	21,0864	0,1155
0 - 16	116	-2,0799	21,4827	0,1166
0 - 16	117	-2,0789	21,889	0,1177
0 - 16	118	-2,0755	22,3054	0,1189
0 - 16	119	-2,0697	22,7325	0,12
0 - 16	120	-2,0617	23,17	0,1212
0 - 16	121	-2,0513	23,6184	0,1224
0 - 16	122	-2,0387	24,0778	0,1237
0 - 16	123	-2,0239	24,5486	0,1249
0 - 16	124	-2,007	25,031	0,1262
0 - 16	125	-1,988	25,5255	0,1275
0 - 16	126	-1,9671	26,0325	0,1287
0 - 16	127	-1,9446	26,5523	0,13
0 - 16	128	-1,9205	27,0857	0,1313
0 - 16	129	-1,895	27,6325	0,1325
0 - 16	130	-1,8681	28,1938	0,1338
0 - 16	131	-1,8399	28,7699	0,1351
0 - 16	132	-1,8104	29,3614	0,1363
0 - 16	133	-1,7796	29,9687	0,1376
0 - 16	134	-1,7475	30,5923	0,1388
0 - 16	135	-1,7141	31,2322	0,1401
0 - 16	136	-1,6797	31,8888	0,1413
0 - 16	137	-1,6442	32,5619	0,1425
0 - 16	138	-1,6078	33,2516	0,1437
0 - 16	139	-1,5707	33,9573	0,1449
0 - 16	140	-1,533	34,6791	0,1461
0 - 16	141	-1,4948	35,4166	0,1472
0 - 16	142	-1,4561	36,1692	0,1483
0 - 16	143	-1,4171	36,9364	0,1493
0 - 16	144	-1,3779	37,7176	0,1503
0 - 16	145	-1,3386	38,5117	0,1512
0 - 16	146	-1,2993	39,3181	0,1521
0 - 16	147	-1,2603	40,1357	0,1529
0 - 16	148	-1,2217	40,9634	0,1537
0 - 16	149	-1,1836	41,8003	0,1545
0 - 16	150	-1,1461	42,6453	0,1552
0 - 16	151	-1,1093	43,4978	0,1559
0 - 16	152	-1,0733	44,3568	0,1565
0 - 16	153	-1,0382	45,2217	0,1571
0 - 16	154	-1,0042	46,0918	0,1577
0 - 16	155	-0,9713	46,9663	0,1582
0 - 16	156	-0,9395	47,8447	0,1588
0 - 16	157	-0,9087	48,7263	0,1593
0 - 16	158	-0,8788	49,6108	0,1598
0 - 16	159	-0,8498	50,4976	0,1604
0 - 16	160	-0,8216	51,3864	0,1609
0 - 16	161	-0,7942	52,2766	0,1614
0 - 16	162	-0,7676	53,168	0,1619
0 - 16	163	-0,7418	54,0601	0,1625
0 - 16	164	-0,7169	54,9527	0,163
0 - 16	165	-0,6928	55,8456	0,1634
0 - 16	166	-0,6694	56,7387	0,1639
0 - 16	167	-0,6467	57,6318	0,1644
0 - 16	168	-0,6244	58,525	0,1649
0 - 16	169	-0,6026	59,4181	0,1654
0 - 16	170	-0,581	60,3113	0,1658
0 - 16	171	-0,5596	61,2044	0,1663
0 - 16	172	-0,5382	62,0975	0,1668
0 - 16	173	-0,5168	62,9906	0,1672
0 - 16	174	-0,4955	63,8836	0,1677
0 - 16	175	-0,4742	64,7767	0,1681
