Leeftijd	Lengte	L	M	S
16 - 21	162	-0,627	55,054	0,13
16 - 21	163	-0,668	55,776	0,129
16 - 21	164	-0,709	56,498	0,128
16 - 21	165	-0,75	57,22	0,128
16 - 21	166	-0,791	57,942	0,127
16 - 21	167	-0,832	58,664	0,126
16 - 21	168	-0,873	59,386	0,125
16 - 21	169	-0,914	60,108	0,125
16 - 21	170	-0,955	60,83	0,124
16 - 21	171	-0,995	61,552	0,124
16 - 21	172	-1,036	62,274	0,123
16 - 21	173	-1,077	62,996	0,122
16 - 21	174	-1,118	63,718	0,121
16 - 21	175	-1,159	64,441	0,12
16 - 21	176	-1,2	65,163	0,12
16 - 21	177	-1,241	65,885	0,119
16 - 21	178	-1,282	66,607	0,118
16 - 21	179	-1,323	67,329	0,117
16 - 21	180	-1,364	68,051	0,117
16 - 21	181	-1,405	68,773	0,116
16 - 21	182	-1,446	69,495	0,116
16 - 21	183	-1,487	70,217	0,115
16 - 21	184	-1,528	70,939	0,114
16 - 21	185	-1,568	71,661	0,113
16 - 21	186	-1,609	72,383	0,113
16 - 21	187	-1,65	73,105	0,112
16 - 21	188	-1,691	73,827	0,111
16 - 21	189	-1,732	74,549	0,111
16 - 21	190	-1,773	75,271	0,11
16 - 21	191	-1,814	75,994	0,109
16 - 21	192	-1,855	76,716	0,109
16 - 21	193	-1,896	77,438	0,108
16 - 21	194	-1,937	78,16	0,107
16 - 21	195	-1,978	78,882	0,106
16 - 21	196	-2,019	79,604	0,106
16 - 21	197	-2,059	80,326	0,105
16 - 21	198	-2,1	81,048	0,105
16 - 21	199	-2,141	81,77	0,104
16 - 21	200	-2,182	82,492	0,103
