Leeftijd	Lengte	L	M	S
0 - 16	50	-0,326	3,329	0,082
0 - 16	51	-0,334	3,558	0,082
0 - 16	52	-0,341	3,788	0,081
0 - 16	53	-0,348	4,018	0,081
0 - 16	54	-0,356	4,251	0,081
0 - 16	55	-0,363	4,486	0,081
0 - 16	56	-0,371	4,724	0,081
0 - 16	57	-0,378	4,966	0,081
0 - 16	58	-0,386	5,212	0,081
0 - 16	59	-0,394	5,462	0,081
0 - 16	60	-0,402	5,716	0,081
0 - 16	61	-0,41	5,975	0,081
0 - 16	62	-0,419	6,239	0,081
0 - 16	63	-0,427	6,506	0,081
0 - 16	64	-0,436	6,777	0,081
0 - 16	65	-0,445	7,05	0,082
0 - 16	66	-0,454	7,325	0,082
0 - 16	67	-0,463	7,601	0,082
0 - 16	68	-0,472	7,877	0,082
0 - 16	69	-0,481	8,152	0,082
0 - 16	70	-0,49	8,424	0,082
0 - 16	71	-0,5	8,694	0,082
0 - 16	72	-0,509	8,96	0,082
0 - 16	73	-0,518	9,221	0,082
0 - 16	74	-0,527	9,478	0,082
0 - 16	75	-0,536	9,731	0,082
0 - 16	76	-0,545	9,979	0,082
0 - 16	77	-0,554	10,224	0,082
0 - 16	78	-0,563	10,465	0,082
0 - 16	79	-0,572	10,703	0,082
0 - 16	80	-0,581	10,937	0,082
0 - 16	81	-0,59	11,17	0,083
0 - 16	82	-0,599	11,4	0,083
0 - 16	83	-0,608	11,628	0,083
0 - 16	84	-0,617	11,856	0,083
0 - 16	85	-0,626	12,084	0,083
0 - 16	86	-0,635	12,313	0,083
0 - 16	87	-0,645	12,542	0,083
0 - 16	88	-0,654	12,774	0,083
0 - 16	89	-0,664	13,007	0,084
0 - 16	90	-0,674	13,243	0,084
0 - 16	91	-0,684	13,482	0,084
0 - 16	92	-0,694	13,723	0,084
0 - 16	93	-0,705	13,968	0,084
0 - 16	94	-0,716	14,216	0,085
0 - 16	95	-0,727	14,467	0,085
0 - 16	96	-0,738	14,722	0,085
0 - 16	97	-0,75	14,98	0,085
0 - 16	98	-0,762	15,242	0,085
0 - 16	99	-0,774	15,508	0,086
0 - 16	100	-0,787	15,778	0,086
0 - 16	101	-0,8	16,052	0,086
0 - 16	102	-0,814	16,33	0,086
0 - 16	103	-0,828	16,613	0,087
0 - 16	104	-0,842	16,9	0,087
0 - 16	105	-0,857	17,192	0,087
0 - 16	106	-0,872	17,49	0,088
0 - 16	107	-0,888	17,792	0,088
0 - 16	108	-0,904	18,101	0,088
0 - 16	109	-0,921	18,416	0,089
0 - 16	110	-0,938	18,736	0,089
0 - 16	111	-0,956	19,063	0,089
0 - 16	112	-0,975	19,396	0,09
0 - 16	113	-0,994	19,736	0,09
0 - 16	114	-1,014	20,082	0,09
0 - 16	115	-1,034	20,434	0,091
0 - 16	116	-1,055	20,793	0,091
0 - 16	117	-1,076	21,159	0,092
0 - 16	118	-1,098	21,532	0,092
0 - 16	119	-1,121	21,911	0,093
0 - 16	120	-1,143	22,298	0,093
0 - 16	121	-1,167	22,691	0,094
0 - 16	122	-1,191	23,092	0,094
0 - 16	123	-1,215	23,5	0,094
0 - 16	124	-1,24	23,914	0,095
0 - 16	125	-1,264	24,336	0,095
0 - 16	126	-1,29	24,766	0,096
0 - 16	127	-1,315	25,204	0,097
0 - 16	128	-1,341	25,65	0,097
0 - 16	129	-1,368	26,106	0,098
0 - 16	130	-1,394	26,57	0,098
0 - 16	131	-1,42	27,045	0,099
0 - 16	132	-1,447	27,53	0,099
0 - 16	133	-1,473	28,026	0,1
