Leeftijd	Lengte	L	M	S
16 - 21	150	-2,093	50,456	0,113
16 - 21	151	-2,093	50,894	0,113
16 - 21	152	-2,093	51,333	0,113
16 - 21	153	-2,093	51,774	0,113
16 - 21	154	-2,093	52,216	0,113
16 - 21	155	-2,093	52,663	0,113
16 - 21	156	-2,093	53,111	0,113
16 - 21	157	-2,093	53,568	0,113
16 - 21	158	-2,093	54,026	0,113
16 - 21	159	-2,093	54,504	0,113
16 - 21	160	-2,093	54,982	0,113
16 - 21	161	-2,093	55,493	0,113
16 - 21	162	-2,093	56,005	0,113
16 - 21	163	-2,093	56,558	0,113
16 - 21	164	-2,093	57,11	0,113
16 - 21	165	-2,093	57,708	0,113
16 - 21	166	-2,093	58,306	0,113
16 - 21	167	-2,093	58,96	0,113
16 - 21	168	-2,093	59,614	0,113
16 - 21	169	-2,093	60,322	0,113
16 - 21	170	-2,093	61,031	0,113
16 - 21	171	-2,093	61,781	0,113
16 - 21	172	-2,093	62,531	0,113
16 - 21	173	-2,093	63,306	0,113
16 - 21	174	-2,093	64,082	0,113
16 - 21	175	-2,093	64,861	0,113
16 - 21	176	-2,093	65,64	0,113
16 - 21	177	-2,093	66,41	0,113
16 - 21	178	-2,093	67,18	0,113
16 - 21	179	-2,093	67,938	0,113
16 - 21	180	-2,093	68,696	0,113
16 - 21	181	-2,093	69,446	0,113
16 - 21	182	-2,093	70,197	0,113
16 - 21	183	-2,093	70,945	0,113
16 - 21	184	-2,093	71,692	0,113
16 - 21	185	-2,093	72,441	0,113
16 - 21	186	-2,093	73,189	0,113
16 - 21	187	-2,093	73,94	0,113
16 - 21	188	-2,093	74,69	0,113
16 - 21	189	-2,093	75,441	0,113
16 - 21	190	-2,093	76,192	0,113
