Leeftijd	Lengte	L	M	S
0 - 16	50	-0,156	3,328	0,085
0 - 16	51	-0,173	3,548	0,085
0 - 16	52	-0,189	3,768	0,085
0 - 16	53	-0,205	3,991	0,085
0 - 16	54	-0,222	4,217	0,085
0 - 16	55	-0,238	4,448	0,085
0 - 16	56	-0,256	4,683	0,085
0 - 16	57	-0,273	4,922	0,085
0 - 16	58	-0,291	5,166	0,085
0 - 16	59	-0,309	5,413	0,084
0 - 16	60	-0,327	5,665	0,084
0 - 16	61	-0,345	5,92	0,084
0 - 16	62	-0,364	6,179	0,084
0 - 16	63	-0,383	6,44	0,084
0 - 16	64	-0,401	6,702	0,084
0 - 16	65	-0,42	6,963	0,084
0 - 16	66	-0,439	7,223	0,084
0 - 16	67	-0,457	7,48	0,084
0 - 16	68	-0,476	7,734	0,084
0 - 16	69	-0,494	7,984	0,084
0 - 16	70	-0,511	8,23	0,084
0 - 16	71	-0,529	8,471	0,084
0 - 16	72	-0,546	8,71	0,084
0 - 16	73	-0,563	8,946	0,084
0 - 16	74	-0,58	9,179	0,084
0 - 16	75	-0,597	9,409	0,084
0 - 16	76	-0,613	9,638	0,084
0 - 16	77	-0,63	9,866	0,084
0 - 16	78	-0,646	10,092	0,084
0 - 16	79	-0,663	10,32	0,084
0 - 16	80	-0,679	10,548	0,084
0 - 16	81	-0,696	10,779	0,084
0 - 16	82	-0,713	11,012	0,084
0 - 16	83	-0,729	11,246	0,084
0 - 16	84	-0,746	11,483	0,084
0 - 16	85	-0,763	11,721	0,084
0 - 16	86	-0,78	11,96	0,084
0 - 16	87	-0,797	12,203	0,084
0 - 16	88	-0,815	12,448	0,084
0 - 16	89	-0,832	12,696	0,084
0 - 16	90	-0,85	12,948	0,084
0 - 16	91	-0,868	13,203	0,085
0 - 16	92	-0,885	13,462	0,085
0 - 16	93	-0,904	13,724	0,085
0 - 16	94	-0,922	13,99	0,085
0 - 16	95	-0,94	14,26	0,085
0 - 16	96	-0,959	14,532	0,085
