Leeftijd	Lengte	L	M	S
16 - 21	150	0,01	50,9	0,139
16 - 21	151	0,01	51,595	0,139
16 - 21	152	0,01	52,29	0,139
16 - 21	153	0,01	52,985	0,139
16 - 21	154	0,01	53,68	0,139
16 - 21	155	0,01	54,375	0,139
16 - 21	156	0,01	55,07	0,139
16 - 21	157	0,01	55,765	0,139
16 - 21	158	0,01	56,46	0,139
16 - 21	159	0,01	57,155	0,139
16 - 21	160	0,01	57,85	0,139
16 - 21	161	0,01	58,545	0,139
16 - 21	162	0,01	59,24	0,139
16 - 21	163	0,01	59,935	0,139
16 - 21	164	0,01	60,63	0,139
16 - 21	165	0,01	61,325	0,139
16 - 21	166	0,01	62,02	0,139
16 - 21	167	0,01	62,715	0,139
16 - 21	168	0,01	63,41	0,139
16 - 21	169	0,01	64,105	0,139
16 - 21	170	0,01	64,8	0,139
16 - 21	171	0,01	65,63	0,139
16 - 21	172	0,01	66,46	0,139
16 - 21	173	0,01	67,29	0,139
16 - 21	174	0,01	68,12	0,139
16 - 21	175	0,01	68,95	0,139
16 - 21	176	0,01	69,78	0,139
16 - 21	177	0,01	70,61	0,139
16 - 21	178	0,01	71,44	0,139
16 - 21	179	0,01	72,27	0,139
16 - 21	180	0,01	73,1	0,139
