year	month	L	M	S
0	0	3,0601	35,7746	0,0455
0,25	3	3,0725	41,6911	0,0446
0,5	6	3,0872	45,6695	0,0439
0,75	9	3,0921	48,0351	0,0438
1	12	3,087	49,7098	0,044
1,25	15	3,0754	51,0319	0,0445
1,5	18	3,0606	52,1001	0,045
1,75	21	3,0452	52,9331	0,0454
2	24	3,0305	53,5994	0,0457
2,25	27	3,0162	54,1912	0,0459
2,5	30	3,0019	54,7608	0,0461
2,75	33	2,9869	55,3418	0,0462
3	36	2,9705	55,9522	0,0464
3,25	39	2,9525	56,6023	0,0465
3,5	42	2,9325	57,2883	0,0466
3,75	45	2,9105	58,004	0,0467
4	48	2,8863	58,7409	0,0467
4,25	51	2,8599	59,4959	0,0467
4,5	54	2,8313	60,2643	0,0467
4,75	57	2,8005	61,0438	0,0467
5	60	2,7679	61,8306	0,0467
5,25	63	2,7336	62,6184	0,0466
5,5	66	2,698	63,3991	0,0466
5,75	69	2,6615	64,1668	0,0466
6	72	2,6245	64,9164	0,0465
6,25	75	2,5871	65,6494	0,0465
6,5	78	2,5495	66,3701	0,0465
6,75	81	2,5119	67,0812	0,0465
7	84	2,4744	67,784	0,0465
7,25	87	2,4372	68,4759	0,0465
7,5	90	2,4008	69,1539	0,0466
7,75	93	2,3653	69,8135	0,0466
8	96	2,3312	70,4461	0,0467
8,25	99	2,2987	71,0461	0,0468
8,5	102	2,2682	71,6092	0,0469
8,75	105	2,2395	72,1389	0,047
9	108	2,2124	72,6416	0,0471
9,25	111	2,1866	73,124	0,0472
9,5	114	2,1619	73,5918	0,0473
9,75	117	2,1381	74,0495	0,0474
10	120	2,1149	74,5018	0,0476
10,25	123	2,0921	74,9567	0,0477
10,5	126	2,0695	75,4223	0,0479
10,75	129	2,0465	75,9106	0,048
11	132	2,0231	76,4348	0,0483
11,25	135	1,9994	76,9966	0,0485
11,5	138	1,9758	77,5902	0,0487
11,75	141	1,9529	78,2194	0,049
12	144	1,9309	78,8931	0,0493
12,25	147	1,9106	79,6126	0,0495
12,5	150	1,8929	80,3719	0,0498
12,75	153	1,8785	81,16	0,05
13	156	1,8682	81,9707	0,0502
13,25	159	1,8624	82,8081	0,0502
13,5	162	1,861	83,6756	0,0502
13,75	165	1,8638	84,5699	0,0501
14	168	1,8706	85,482	0,0498
14,25	171	1,8809	86,4013	0,0494
14,5	174	1,894	87,3084	0,0488
14,75	177	1,909	88,1785	0,0481
15	180	1,9251	88,9942	0,0474
15,25	183	1,9414	89,7434	0,0466
15,5	186	1,9571	90,4208	0,0459
15,75	189	1,9717	91,0252	0,0451
16	192	1,9851	91,5553	0,0444
16,25	195	1,9969	92,0114	0,0438
16,5	198	2,0072	92,4003	0,0432
16,75	201	2,0161	92,7316	0,0427
17	204	2,0238	93,0168	0,0423
17,25	207	2,0306	93,2672	0,0419
17,5	210	2,0366	93,4891	0,0416
17,75	213	2,0419	93,6844	0,0413
18	216	2,0466	93,8544	0,041
18,25	219	2,0506	94,0008	0,0408
18,5	222	2,054	94,1242	0,0406
18,75	225	2,0568	94,2281	0,0404
19	228	2,0591	94,3114	0,0403
19,25	231	2,0608	94,3716	0,0402
19,5	234	2,0617	94,4073	0,0402
19,75	237	2,062	94,4185	0,0401
20	240	2,0619	94,432	0,0401
20,25	243	2,0617	94,4686	0,0401
20,5	246	2,0613	94,5223	0,04
20,75	249	2,0608	94,5861	0,0399
21	252	2,0603	94,6538	0,0397
21,25	255	2,0598	94,7226	0,0396
