year	month	L	M	S
0	0	5,2236	0,692	0,0335
0,25	3	5,2236	0,6824	0,0337
0,5	6	5,2236	0,6711	0,0337
0,75	9	5,2236	0,6596	0,0337
1	12	5,2236	0,6481	0,0337
1,25	15	5,2236	0,6365	0,0337
1,5	18	5,2236	0,6252	0,0337
1,75	21	5,2236	0,6141	0,0337
2	24	5,2236	0,6036	0,0337
2,25	27	5,2236	0,5941	0,0336
2,5	30	5,2236	0,5856	0,0335
2,75	33	5,2236	0,5782	0,0334
3	36	5,2236	0,5719	0,0333
3,25	39	5,2236	0,5665	0,0331
3,5	42	5,2236	0,562	0,0329
3,75	45	5,2236	0,5581	0,0327
4	48	5,2236	0,5548	0,0325
4,25	51	5,2236	0,552	0,0323
4,5	54	5,2236	0,5496	0,032
4,75	57	5,2236	0,5476	0,0317
5	60	5,2236	0,5459	0,0314
5,25	63	5,2236	0,5444	0,0311
5,5	66	5,2236	0,543	0,0308
5,75	69	5,2236	0,5418	0,0305
6	72	5,2236	0,5406	0,0302
6,25	75	5,2236	0,5394	0,0298
6,5	78	5,2236	0,5383	0,0295
6,75	81	5,2236	0,5371	0,0292
7	84	5,2236	0,5359	0,0289
7,25	87	5,2236	0,5347	0,0286
7,5	90	5,2236	0,5334	0,0283
7,75	93	5,2236	0,5321	0,028
8	96	5,2236	0,5308	0,0277
8,25	99	5,2236	0,5295	0,0274
8,5	102	5,2236	0,5282	0,0271
8,75	105	5,2236	0,5268	0,0269
9	108	5,2236	0,5255	0,0267
9,25	111	5,2236	0,5241	0,0264
9,5	114	5,2236	0,5229	0,0263
9,75	117	5,2236	0,5216	0,0261
10	120	5,2236	0,5204	0,0259
10,25	123	5,2236	0,5192	0,0258
10,5	126	5,2236	0,5181	0,0256
10,75	129	5,2236	0,517	0,0255
11	132	5,2236	0,516	0,0254
11,25	135	5,2236	0,5151	0,0254
11,5	138	5,2236	0,5143	0,0253
11,75	141	5,2236	0,5134	0,0253
12	144	5,2236	0,5126	0,0252
12,25	147	5,2236	0,5117	0,0252
12,5	150	5,2236	0,5107	0,0252
12,75	153	5,2236	0,5098	0,0253
13	156	5,2236	0,509	0,0253
13,25	159	5,2236	0,5084	0,0254
13,5	162	5,2236	0,5079	0,0254
13,75	165	5,2236	0,5077	0,0255
14	168	5,2236	0,5077	0,0256
14,25	171	5,2236	0,508	0,0257
14,5	174	5,2236	0,5085	0,0258
14,75	177	5,2236	0,5091	0,0259
15	180	5,2236	0,5097	0,0261
15,25	183	5,2236	0,5103	0,0262
15,5	186	5,2236	0,5109	0,0264
15,75	189	5,2236	0,5114	0,0265
16	192	5,2236	0,5118	0,0267
16,25	195	5,2236	0,5122	0,0268
16,5	198	5,2236	0,5125	0,027
16,75	201	5,2236	0,5129	0,0271
17	204	5,2236	0,5133	0,0273
17,25	207	5,2236	0,5136	0,0275
17,5	210	5,2236	0,5141	0,0276
17,75	213	5,2236	0,5145	0,0278
18	216	5,2236	0,5149	0,0279
18,25	219	5,2236	0,5152	0,028
18,5	222	5,2236	0,5156	0,0282
18,75	225	5,2236	0,516	0,0283
19	228	5,2236	0,5164	0,0284
19,25	231	5,2236	0,5166	0,0286
19,5	234	5,2236	0,5166	0,0287
19,75	237	5,2236	0,5164	0,0288
20	240	5,2236	0,516	0,029
20,25	243	5,2236	0,5154	0,0291
20,5	246	5,2236	0,5147	0,0292
20,75	249	5,2236	0,5138	0,0293
21	252	5,2236	0,513	0,0295
21,25	255	5,2236	0,5121	0,0296
