year	month	L	M	S
0	0	4,723	0,6926	0,036
0,25	3	4,723	0,6827	0,0363
0,5	6	4,723	0,6716	0,0362
0,75	9	4,723	0,6602	0,0362
1	12	4,723	0,6484	0,0361
1,25	15	4,723	0,6364	0,036
1,5	18	4,723	0,6244	0,0359
1,75	21	4,723	0,6125	0,0358
2	24	4,723	0,6013	0,0356
2,25	27	4,723	0,591	0,0355
2,5	30	4,723	0,582	0,0353
2,75	33	4,723	0,5743	0,0351
3	36	4,723	0,5679	0,0348
3,25	39	4,723	0,5627	0,0345
3,5	42	4,723	0,5585	0,0342
3,75	45	4,723	0,5552	0,0339
4	48	4,723	0,5526	0,0336
4,25	51	4,723	0,5506	0,0333
4,5	54	4,723	0,5489	0,0329
4,75	57	4,723	0,5475	0,0325
5	60	4,723	0,5462	0,0322
5,25	63	4,723	0,545	0,0318
5,5	66	4,723	0,5438	0,0314
5,75	69	4,723	0,5426	0,0311
6	72	4,723	0,5413	0,0307
6,25	75	4,723	0,54	0,0304
6,5	78	4,723	0,5385	0,03
6,75	81	4,723	0,5371	0,0297
7	84	4,723	0,5357	0,0294
7,25	87	4,723	0,5344	0,0291
7,5	90	4,723	0,5331	0,0288
7,75	93	4,723	0,5318	0,0285
8	96	4,723	0,5306	0,0283
8,25	99	4,723	0,5294	0,0281
8,5	102	4,723	0,5284	0,0279
8,75	105	4,723	0,5273	0,0277
9	108	4,723	0,5263	0,0275
9,25	111	4,723	0,5254	0,0274
9,5	114	4,723	0,5244	0,0272
9,75	117	4,723	0,5234	0,0271
10	120	4,723	0,5224	0,0271
10,25	123	4,723	0,5215	0,027
10,5	126	4,723	0,5206	0,0269
10,75	129	4,723	0,5196	0,0269
11	132	4,723	0,5187	0,0269
11,25	135	4,723	0,5179	0,0269
11,5	138	4,723	0,5172	0,0269
11,75	141	4,723	0,5166	0,0269
12	144	4,723	0,5161	0,0269
12,25	147	4,723	0,5159	0,0269
12,5	150	4,723	0,5157	0,0269
12,75	153	4,723	0,5157	0,0269
13	156	4,723	0,5159	0,0269
13,25	159	4,723	0,5163	0,0269
13,5	162	4,723	0,5169	0,027
13,75	165	4,723	0,5176	0,027
14	168	4,723	0,5184	0,027
14,25	171	4,723	0,5193	0,027
14,5	174	4,723	0,5201	0,027
14,75	177	4,723	0,521	0,027
15	180	4,723	0,5218	0,0269
15,25	183	4,723	0,5226	0,0269
15,5	186	4,723	0,5232	0,0269
15,75	189	4,723	0,5236	0,0269
16	192	4,723	0,5239	0,0269
16,25	195	4,723	0,5241	0,0269
16,5	198	4,723	0,5242	0,0269
16,75	201	4,723	0,5243	0,0269
17	204	4,723	0,5244	0,0269
17,25	207	4,723	0,5244	0,0269
17,5	210	4,723	0,5244	0,0268
17,75	213	4,723	0,5244	0,0268
18	216	4,723	0,5244	0,0268
18,25	219	4,723	0,5245	0,0268
18,5	222	4,723	0,5247	0,0268
18,75	225	4,723	0,525	0,0268
19	228	4,723	0,5251	0,0268
19,25	231	4,723	0,5252	0,0268
19,5	234	4,723	0,5253	0,0268
19,75	237	4,723	0,5254	0,0267
20	240	4,723	0,5256	0,0267
20,25	243	4,723	0,5257	0,0267
20,5	246	4,723	0,5259	0,0267
20,75	249	4,723	0,5261	0,0267
21	252	4,723	0,5263	0,0267
