year	month	L	M	S
0	0	0,4529	1,1122	0,0854
0,25	3	0,3986	1,041	0,0712
0,5	6	0,3457	1,0129	0,0658
0,75	9	0,3077	0,9984	0,0623
1	12	0,2776	0,9882	0,0596
1,25	15	0,2504	0,9796	0,0575
1,5	18	0,2229	0,9735	0,0559
1,75	21	0,1936	0,97	0,0547
2	24	0,1621	0,9684	0,0538
2,25	27	0,1292	0,9675	0,0532
2,5	30	0,0956	0,9666	0,0529
2,75	33	0,0619	0,965	0,0528
3	36	0,0287	0,9625	0,0529
3,25	39	-0,0039	0,959	0,053
3,5	42	-0,0354	0,9548	0,0533
3,75	45	-0,066	0,95	0,0536
4	48	-0,0956	0,9447	0,054
4,25	51	-0,1242	0,9392	0,0543
4,5	54	-0,1519	0,9337	0,0547
4,75	57	-0,1787	0,9283	0,0551
5	60	-0,2049	0,923	0,0554
5,25	63	-0,2303	0,918	0,0557
5,5	66	-0,2552	0,9133	0,056
5,75	69	-0,2795	0,9089	0,0563
6	72	-0,3031	0,9048	0,0566
6,25	75	-0,3262	0,901	0,0569
6,5	78	-0,3486	0,8974	0,0571
6,75	81	-0,3705	0,894	0,0573
7	84	-0,3918	0,8907	0,0575
7,25	87	-0,4125	0,8875	0,0577
7,5	90	-0,4326	0,8844	0,0579
7,75	93	-0,4522	0,8813	0,058
8	96	-0,4712	0,8782	0,0582
8,25	99	-0,4896	0,8751	0,0583
8,5	102	-0,5076	0,872	0,0584
8,75	105	-0,525	0,869	0,0585
9	108	-0,542	0,8661	0,0586
9,25	111	-0,5585	0,8633	0,0587
9,5	114	-0,5745	0,8605	0,0587
9,75	117	-0,5901	0,8579	0,0588
10	120	-0,6052	0,8553	0,0589
10,25	123	-0,6198	0,8529	0,0589
10,5	126	-0,6339	0,8505	0,059
10,75	129	-0,6474	0,8483	0,0591
11	132	-0,6603	0,8461	0,0591
11,25	135	-0,6726	0,844	0,0592
11,5	138	-0,6843	0,842	0,0593
11,75	141	-0,6954	0,8401	0,0594
12	144	-0,7057	0,8381	0,0595
12,25	147	-0,7155	0,8363	0,0596
12,5	150	-0,7245	0,8345	0,0597
12,75	153	-0,7329	0,8327	0,0599
13	156	-0,7406	0,831	0,06
13,25	159	-0,7477	0,8293	0,0601
13,5	162	-0,7542	0,8278	0,0603
13,75	165	-0,7602	0,8263	0,0604
14	168	-0,7656	0,8249	0,0606
14,25	171	-0,7705	0,8237	0,0607
14,5	174	-0,7749	0,8226	0,0608
14,75	177	-0,7788	0,8216	0,061
15	180	-0,7823	0,8209	0,0611
15,25	183	-0,7854	0,8204	0,0613
15,5	186	-0,7882	0,82	0,0614
15,75	189	-0,7906	0,8198	0,0616
16	192	-0,7927	0,8198	0,0617
16,25	195	-0,7945	0,82	0,0618
16,5	198	-0,7959	0,8203	0,062
16,75	201	-0,7971	0,8207	0,0621
17	204	-0,7981	0,8212	0,0623
17,25	207	-0,7989	0,8218	0,0624
17,5	210	-0,7994	0,8224	0,0625
17,75	213	-0,7997	0,8231	0,0627
18	216	-0,7999	0,8239	0,0628
18,25	219	-0,8	0,8247	0,063
18,5	222	-0,7999	0,8255	0,0631
18,75	225	-0,7997	0,8263	0,0633
19	228	-0,7994	0,8271	0,0634
19,25	231	-0,7991	0,828	0,0636
19,5	234	-0,7987	0,8289	0,0637
19,75	237	-0,7984	0,8298	0,0639
20	240	-0,7979	0,8307	0,064
20,25	243	-0,7975	0,8316	0,0642
20,5	246	-0,7971	0,8325	0,0643
20,75	249	-0,7967	0,8334	0,0644
21	252	-0,7963	0,8343	0,0646
21,25	255	-0,7959	0,8352	0,0647
21,5	258	-0,7955	0,836	0,0649
