year	month	L	M	S
0	0	2,3573	1,112	0,0813
0,25	3	1,1616	1,0312	0,0701
0,5	6	0,878	0,997	0,0652
0,75	9	0,6838	0,9818	0,0615
1	12	0,5296	0,9734	0,0586
1,25	15	0,3973	0,9681	0,0562
1,5	18	0,2791	0,9643	0,0543
1,75	21	0,1716	0,9613	0,0528
2	24	0,0723	0,9585	0,0518
2,25	27	-0,0202	0,9559	0,051
2,5	30	-0,1067	0,9531	0,0505
2,75	33	-0,1879	0,9497	0,0503
3	36	-0,2644	0,9456	0,0503
3,25	39	-0,3365	0,9407	0,0505
3,5	42	-0,4049	0,9353	0,0508
3,75	45	-0,47	0,9295	0,0513
4	48	-0,5321	0,9234	0,0519
4,25	51	-0,5916	0,9173	0,0526
4,5	54	-0,6486	0,9111	0,0533
4,75	57	-0,7035	0,9051	0,054
5	60	-0,7563	0,8993	0,0548
5,25	63	-0,8074	0,8937	0,0555
5,5	66	-0,8569	0,8884	0,0562
5,75	69	-0,9048	0,8835	0,0569
6	72	-0,9513	0,879	0,0575
6,25	75	-0,9966	0,8747	0,0581
6,5	78	-1,0408	0,8707	0,0587
6,75	81	-1,0839	0,8668	0,0592
7	84	-1,1261	0,8631	0,0597
7,25	87	-1,1674	0,8594	0,0602
7,5	90	-1,2079	0,8558	0,0606
7,75	93	-1,2477	0,8522	0,061
8	96	-1,2867	0,8486	0,0614
8,25	99	-1,3252	0,845	0,0618
8,5	102	-1,3631	0,8414	0,0622
8,75	105	-1,4004	0,8378	0,0625
9	108	-1,4373	0,8341	0,0628
9,25	111	-1,4738	0,8305	0,0631
9,5	114	-1,5098	0,8269	0,0634
9,75	117	-1,5454	0,8234	0,0637
10	120	-1,5804	0,8198	0,064
10,25	123	-1,615	0,8162	0,0643
10,5	126	-1,6492	0,8127	0,0646
10,75	129	-1,6828	0,8091	0,0649
11	132	-1,7159	0,8056	0,0652
11,25	135	-1,7486	0,8021	0,0655
11,5	138	-1,7808	0,7987	0,0657
11,75	141	-1,8125	0,7952	0,066
12	144	-1,8437	0,7919	0,0663
12,25	147	-1,8744	0,7885	0,0666
12,5	150	-1,9047	0,7853	0,0669
12,75	153	-1,9345	0,7821	0,0672
13	156	-1,9639	0,7791	0,0675
13,25	159	-1,9929	0,7761	0,0678
13,5	162	-2,0216	0,7733	0,0681
13,75	165	-2,0498	0,7707	0,0685
14	168	-2,0777	0,7682	0,0688
14,25	171	-2,1053	0,7659	0,0691
14,5	174	-2,1325	0,7638	0,0694
14,75	177	-2,1594	0,7618	0,0697
15	180	-2,1859	0,7601	0,07
15,25	183	-2,2121	0,7585	0,0703
15,5	186	-2,2379	0,7571	0,0706
15,75	189	-2,2634	0,7559	0,0708
16	192	-2,2887	0,7548	0,0711
16,25	195	-2,3136	0,7539	0,0714
16,5	198	-2,3382	0,7531	0,0717
16,75	201	-2,3625	0,7525	0,0719
17	204	-2,3865	0,7519	0,0722
17,25	207	-2,4101	0,7515	0,0725
17,5	210	-2,4335	0,7511	0,0727
17,75	213	-2,4566	0,7508	0,073
18	216	-2,4794	0,7505	0,0732
18,25	219	-2,502	0,7503	0,0734
18,5	222	-2,5243	0,7501	0,0737
18,75	225	-2,5463	0,75	0,0739
19	228	-2,5681	0,7499	0,0742
19,25	231	-2,5897	0,7498	0,0744
19,5	234	-2,611	0,7497	0,0746
19,75	237	-2,6322	0,7497	0,0748
20	240	-2,6531	0,7497	0,0751
20,25	243	-2,6738	0,7496	0,0753
20,5	246	-2,6944	0,7496	0,0755
20,75	249	-2,7147	0,7496	0,0757
21	252	-2,7349	0,7496	0,0759
21,25	255	-2,7548	0,7496	0,0761
21,5	258	-2,7746	0,7496	0,0764
21,75	261	-2,794263	0,75	0,0766
