year	month	L	M	S
0	0	1,6973	32,3691	0,1055
0,25	3	1,412	39,3527	0,0785
0,5	6	1,1371	42,037	0,072
0,75	9	0,8694	43,4246	0,0699
1	12	0,6206	44,2979	0,069
1,25	15	0,3905	44,926	0,0686
1,5	18	0,1762	45,5529	0,0681
1,75	21	-0,0236	46,2223	0,0675
2	24	-0,2118	46,9308	0,0668
2,25	27	-0,3907	47,6658	0,0661
2,5	30	-0,5616	48,4001	0,0654
2,75	33	-0,7245	49,0845	0,0647
3	36	-0,8794	49,6829	0,0642
3,25	39	-1,0268	50,1844	0,0639
3,5	42	-1,167	50,5896	0,0639
3,75	45	-1,3005	50,9123	0,064
4	48	-1,4273	51,1782	0,0643
4,25	51	-1,5477	51,4146	0,0648
4,5	54	-1,6613	51,6377	0,0653
4,75	57	-1,7681	51,8615	0,0659
5	60	-1,8682	52,0986	0,0665
5,25	63	-1,9618	52,357	0,0671
5,5	66	-2,0489	52,6412	0,0678
5,75	69	-2,1298	52,9505	0,0686
6	72	-2,2043	53,2823	0,0693
6,25	75	-2,2726	53,6348	0,0701
6,5	78	-2,3348	54,0055	0,0709
6,75	81	-2,3912	54,3915	0,0717
7	84	-2,4417	54,7899	0,0725
7,25	87	-2,4867	55,1981	0,0734
7,5	90	-2,5263	55,6143	0,0742
7,75	93	-2,5607	56,0358	0,075
8	96	-2,5899	56,4597	0,0759
8,25	99	-2,6146	56,8845	0,0767
8,5	102	-2,6348	57,3098	0,0775
8,75	105	-2,6509	57,7355	0,0783
9	108	-2,663	58,1622	0,079
9,25	111	-2,6714	58,5912	0,0798
9,5	114	-2,6763	59,0242	0,0805
9,75	117	-2,678	59,4629	0,0812
10	120	-2,6766	59,9088	0,0818
10,25	123	-2,6725	60,3641	0,0824
10,5	126	-2,6657	60,831	0,083
10,75	129	-2,6566	61,3108	0,0835
11	132	-2,6454	61,8036	0,084
11,25	135	-2,6322	62,3081	0,0845
11,5	138	-2,6172	62,8227	0,0849
11,75	141	-2,6006	63,3466	0,0852
12	144	-2,5825	63,8789	0,0855
12,25	147	-2,5632	64,4183	0,0857
12,5	150	-2,5428	64,9631	0,0859
12,75	153	-2,5214	65,5114	0,0861
13	156	-2,4993	66,0612	0,0862
13,25	159	-2,4765	66,6109	0,0862
13,5	162	-2,4532	67,1589	0,0862
13,75	165	-2,4294	67,7037	0,0862
14	168	-2,4053	68,244	0,0861
14,25	171	-2,3808	68,7785	0,086
14,5	174	-2,3561	69,3058	0,0859
14,75	177	-2,3311	69,8246	0,0857
15	180	-2,306	70,3343	0,0855
15,25	183	-2,2807	70,8341	0,0853
15,5	186	-2,2552	71,3232	0,0851
15,75	189	-2,2297	71,801	0,085
16	192	-2,204	72,2669	0,0848
16,25	195	-2,1783	72,7205	0,0846
16,5	198	-2,1524	73,1615	0,0844
16,75	201	-2,1264	73,5898	0,0843
17	204	-2,1003	74,0059	0,0841
17,25	207	-2,0742	74,4102	0,084
17,5	210	-2,048	74,8034	0,0838
17,75	213	-2,0218	75,1862	0,0837
18	216	-1,9957	75,5593	0,0836
18,25	219	-1,9695	75,9239	0,0835
18,5	222	-1,9434	76,2808	0,0835
18,75	225	-1,9173	76,6312	0,0834
19	228	-1,8914	76,9757	0,0833
19,25	231	-1,8657	77,3153	0,0832
19,5	234	-1,8401	77,6507	0,0832
19,75	237	-1,8147	77,9824	0,0831
20	240	-1,7896	78,3108	0,083
20,25	243	-1,7646	78,6361	0,0829
20,5	246	-1,7399	78,9587	0,0829
20,75	249	-1,7154	79,2785	0,0828
21	252	-1,6911	79,5954	0,0827
21,25	255	-1,667	79,9095	0,0827
21,5	258	-1,6431	80,2208	0,0826
