year	month	L	M	S
0	0	2,5643	32,0796	0,0988
0,25	3	1,4693	38,3843	0,0788
0,5	6	0,9242	40,9554	0,0736
0,75	9	0,5594	42,2664	0,0717
1	12	0,2794	43,175	0,0702
1,25	15	0,0521	43,9549	0,0687
1,5	18	-0,1401	44,7689	0,0672
1,75	21	-0,3076	45,5878	0,066
2	24	-0,457	46,381	0,0651
2,25	27	-0,5928	47,1665	0,0647
2,5	30	-0,7177	47,927	0,0647
2,75	33	-0,8331	48,6105	0,0649
3	36	-0,9401	49,1956	0,0653
3,25	39	-1,0396	49,6712	0,0658
3,5	42	-1,1325	50,0443	0,0665
3,75	45	-1,2201	50,3342	0,0672
4	48	-1,3031	50,5642	0,0681
4,25	51	-1,3823	50,7609	0,069
4,5	54	-1,4577	50,9433	0,0699
4,75	57	-1,5298	51,1307	0,0708
5	60	-1,5987	51,338	0,0718
5,25	63	-1,6646	51,5754	0,0728
5,5	66	-1,7275	51,8488	0,0738
5,75	69	-1,7877	52,1586	0,0748
6	72	-1,845	52,5001	0,0758
6,25	75	-1,8996	52,8658	0,0768
6,5	78	-1,9515	53,2483	0,0778
6,75	81	-2,0008	53,6425	0,0787
7	84	-2,0475	54,0449	0,0797
7,25	87	-2,0916	54,4516	0,0806
7,5	90	-2,1333	54,8603	0,0815
7,75	93	-2,1725	55,2695	0,0824
8	96	-2,2093	55,6782	0,0832
8,25	99	-2,2437	56,0862	0,084
8,5	102	-2,2758	56,4941	0,0848
8,75	105	-2,3057	56,9027	0,0855
9	108	-2,3334	57,3128	0,0862
9,25	111	-2,3589	57,7243	0,0868
9,5	114	-2,3822	58,1364	0,0873
9,75	117	-2,4036	58,5485	0,0878
10	120	-2,4231	58,9612	0,0883
10,25	123	-2,4408	59,3759	0,0887
10,5	126	-2,4568	59,7937	0,089
10,75	129	-2,4714	60,2155	0,0893
11	132	-2,4846	60,6421	0,0895
11,25	135	-2,4966	61,0734	0,0897
11,5	138	-2,5075	61,5088	0,0898
11,75	141	-2,5174	61,9466	0,0899
12	144	-2,5265	62,3846	0,0899
12,25	147	-2,5348	62,8196	0,0899
12,5	150	-2,5424	63,2482	0,0899
12,75	153	-2,5494	63,6675	0,0898
13	156	-2,5558	64,0754	0,0896
13,25	159	-2,5618	64,4703	0,0895
13,5	162	-2,5672	64,8511	0,0893
13,75	165	-2,5723	65,2176	0,0892
14	168	-2,5771	65,5692	0,089
14,25	171	-2,5816	65,9055	0,0888
14,5	174	-2,5858	66,2263	0,0886
14,75	177	-2,5899	66,5321	0,0884
15	180	-2,5938	66,8236	0,0882
15,25	183	-2,5976	67,1022	0,088
15,5	186	-2,6014	67,3687	0,0878
15,75	189	-2,6051	67,624	0,0877
16	192	-2,6088	67,8687	0,0875
16,25	195	-2,6124	68,1035	0,0873
16,5	198	-2,616	68,329	0,0872
16,75	201	-2,6194	68,5457	0,087
17	204	-2,6228	68,7541	0,0869
17,25	207	-2,6261	68,9548	0,0868
17,5	210	-2,6292	69,1482	0,0866
17,75	213	-2,6322	69,3346	0,0865
18	216	-2,6352	69,5145	0,0864
18,25	219	-2,6379	69,6881	0,0863
18,5	222	-2,6406	69,8557	0,0862
18,75	225	-2,6432	70,0176	0,0861
19	228	-2,6456	70,1742	0,086
19,25	231	-2,6479	70,3258	0,0859
19,5	234	-2,6501	70,4731	0,0858
19,75	237	-2,6522	70,6166	0,0857
20	240	-2,6542	70,757	0,0856
20,25	243	-2,6561	70,8947	0,0856
20,5	246	-2,658	71,0301	0,0855
20,75	249	-2,6598	71,1639	0,0854
21	252	-2,6616	71,2962	0,0853
21,25	255	-2,6634	71,4274	0,0852
21,5	258	-2,6652	71,557	0,0852
21,75	261	-2,666986	71,69	0,0851
